subject,repetition,random_seed,edge_count,structural_overlap,same_reference_service_ratio,same_leiden_cluster_ratio
jpetstore,228,42228,48,0.20833333333333334,,0.3125
jpetstore,229,42229,48,0.20833333333333334,,0.29166666666666669
jpetstore,230,42230,48,0.22916666666666666,,0.29166666666666669
jpetstore,231,42231,48,0.20833333333333334,,0.20833333333333334
jpetstore,232,42232,48,0.14583333333333334,,0.1875
jpetstore,233,42233,48,0.0625,,0.14583333333333334
jpetstore,234,42234,48,0.16666666666666666,,0.22916666666666666
jpetstore,235,42235,48,0.22916666666666666,,0.22916666666666666
jpetstore,236,42236,48,0.16666666666666666,,0.20833333333333334
jpetstore,237,42237,48,0.22916666666666666,,0.25
jpetstore,238,42238,48,0.16666666666666666,,0.25
jpetstore,239,42239,48,0.20833333333333334,,0.27083333333333331
jpetstore,240,42240,48,0.20833333333333334,,0.22916666666666666
jpetstore,241,42241,48,0.20833333333333334,,0.1875
jpetstore,242,42242,48,0.1875,,0.14583333333333334
jpetstore,243,42243,48,0.375,,0.29166666666666669
jpetstore,244,42244,48,0.16666666666666666,,0.29166666666666669
