subject,seed,solution_id,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,max_cluster_size,min_cluster_size,max_cluster_ratio,singleton_ratio,cluster_size_distribution
jpetstore,0,seed0_solution079,0.3640755982319768,0.5382716049382716,1.1657754010695187,6,4.0,6,2,0.25,0.0,"{""2"": 2, ""4"": 2, ""6"": 2}"
jpetstore,0,seed0_solution080,0.3042615454961133,0.5333333333333333,1.1428571428571428,5,4.8,8,2,0.3333333333333333,0.0,"{""2"": 2, ""6"": 2, ""8"": 1}"
jpetstore,0,seed0_solution081,0.36121018137479044,0.5333333333333333,1.1428571428571428,6,4.0,7,2,0.2916666666666667,0.0,"{""2"": 2, ""3"": 1, ""4"": 1, ""6"": 1, ""7"": 1}"
jpetstore,0,seed0_solution082,0.2813046791647614,0.5308641975308642,1.131578947368421,5,4.8,9,2,0.375,0.0,"{""2"": 3, ""9"": 2}"
jpetstore,0,seed0_solution083,0.3272214601432709,0.5308641975308642,1.131578947368421,6,4.0,6,2,0.25,0.0,"{""2"": 3, ""6"": 3}"
jpetstore,0,seed0_solution084,0.3258923944520652,0.5308641975308642,1.131578947368421,5,4.8,7,2,0.2916666666666667,0.0,"{""2"": 1, ""3"": 1, ""5"": 1, ""7"": 2}"
jpetstore,0,seed0_solution085,0.3419905502210028,0.5209876543209877,1.0876288659793814,6,4.0,6,2,0.25,0.0,"{""2"": 2, ""4"": 1, ""5"": 2, ""6"": 1}"
jpetstore,0,seed0_solution086,0.3448437738149671,0.5160493827160494,1.066326530612245,6,4.0,6,2,0.25,0.0,"{""2"": 1, ""3"": 1, ""4"": 2, ""5"": 1, ""6"": 1}"
jpetstore,0,seed0_solution087,0.3200152415790275,0.5135802469135803,1.0558375634517767,6,4.0,5,3,0.20833333333333334,0.0,"{""3"": 1, ""4"": 4, ""5"": 1}"
jpetstore,0,seed0_solution088,0.3136229233348574,0.5111111111111111,1.0454545454545454,6,4.0,4,4,0.16666666666666666,0.0,"{""4"": 6}"
jpetstore,0,seed0_solution089,0.32691662856271897,0.4962962962962963,0.9852941176470589,6,4.0,6,2,0.25,0.0,"{""2"": 1, ""3"": 2, ""5"": 2, ""6"": 1}"
jpetstore,0,seed0_solution090,0.30079865874104555,0.4888888888888889,0.9565217391304348,6,4.0,5,3,0.20833333333333334,0.0,"{""3"": 2, ""4"": 2, ""5"": 2}"
jpetstore,0,seed0_solution091,0.3068343240359699,0.4765432098765432,0.910377358490566,6,4.0,6,2,0.25,0.0,"{""2"": 1, ""3"": 2, ""4"": 1, ""6"": 2}"
jpetstore,0,seed0_solution092,0.29771681146166734,0.4691358024691358,0.8837209302325582,6,4.0,7,2,0.2916666666666667,0.0,"{""2"": 2, ""3"": 1, ""5"": 2, ""7"": 1}"
jpetstore,0,seed0_solution093,0.28405730833714365,0.454320987654321,0.832579185520362,6,4.0,5,2,0.20833333333333334,0.0,"{""2"": 1, ""4"": 3, ""5"": 2}"
jpetstore,0,seed0_solution094,0.2579850632525529,0.4345679012345679,0.7685589519650655,6,4.0,5,2,0.20833333333333334,0.0,"{""2"": 1, ""3"": 1, ""4"": 1, ""5"": 3}"
jpetstore,0,seed0_solution095,0.21061423563481171,0.3851851851851852,0.6265060240963856,6,4.0,6,2,0.25,0.0,"{""2"": 2, ""3"": 1, ""5"": 1, ""6"": 2}"
jpetstore,1,seed1_solution000,0.44206980643194654,0.7481481481481481,2.9705882352941178,4,6.0,7,4,0.2916666666666667,0.0,"{""4"": 1, ""6"": 1, ""7"": 2}"
jpetstore,1,seed1_solution001,0.44063709800335327,0.7481481481481481,2.9705882352941178,4,6.0,7,5,0.2916666666666667,0.0,"{""5"": 1, ""6"": 2, ""7"": 1}"
jpetstore,1,seed1_solution002,0.43991159884164033,0.745679012345679,2.9320388349514563,4,6.0,8,3,0.3333333333333333,0.0,"{""3"": 1, ""6"": 1, ""7"": 1, ""8"": 1}"
jpetstore,1,seed1_solution003,0.42991312299954293,0.7382716049382716,2.8207547169811322,4,6.0,7,3,0.2916666666666667,0.0,"{""3"": 1, ""7"": 3}"
jpetstore,1,seed1_solution004,0.4251699436061579,0.7308641975308642,2.7155963302752295,4,6.0,8,4,0.3333333333333333,0.0,"{""4"": 1, ""5"": 1, ""7"": 1, ""8"": 1}"
jpetstore,1,seed1_solution005,0.4239506172839509,0.7308641975308642,2.7155963302752295,4,6.0,7,5,0.2916666666666667,0.0,"{""5"": 2, ""7"": 2}"
jpetstore,1,seed1_solution006,0.43026063100137213,0.7160493827160493,2.5217391304347827,4,6.0,8,4,0.3333333333333333,0.0,"{""4"": 1, ""6"": 2, ""8"": 1}"
