subject,stage,seed,profile,budget,status,available_candidate_count,solution_id,label_vector,is_injected_seed,injected_seed_name,injected_seed_category,projected_membership,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,max_cluster_size,min_cluster_size,max_cluster_ratio,singleton_ratio,cluster_size_cv,coupling,cohesion,imbalance,f_semantic,q_loss,gain_imbalance,gain_semantic,equals_leiden,equals_conservative,realised_modularity_loss,permitted_modularity_loss,above_leiden_modularity,exact_leiden_modularity,baseline_weighted_modularity,baseline_imbalance,baseline_semantic,target_improvement,required_modularity_loss
jpetstore,stage3,2,reverse_semantic_0.20,,achieved,0,seed2_solution035,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 4, 2, 2, 3, 3, 2, 3, 4, 2, 3, 0, 0, 0, 0, 0]",False,,,False,0.33094650205761311224,0.62469135802469133445,1.6644736842105263275,5,4.7999999999999998224,7,2,0.29166666666666657415,0,0.35843021946010938938,0.37530864197530861004,7.425714285714287044,0.35843021946010938938,0.39093779822298879711,0.25137049117024429234,-0.75594229214212327328,0.23683725858410120679,False,False,0.25137049117024429234,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.2000000000000000111,0.25137049117024429234
jpetstore,stage3,2,reverse_semantic_0.30,,achieved,0,seed2_solution054,"[0, 1, 1, 2, 1, 1, 3, 2, 3, 0, 2, 2, 2, 3, 2, 3, 0, 2, 3, 0, 0, 0, 0, 0]",False,,,False,0.28548392013412582369,0.59012345679012334632,1.4397590361445782303,4,6,8,4,0.33333333333333331483,0,0.26352313834736490472,0.40987654320987648715,4.5059523809523804871,0.26352313834736490472,0.35194662243797597556,0.35421076947476581864,-0.29099444873580582183,0.31295323595538249162,False,False,0.35421076947476581864,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.29999999999999987788,0.35421076947476581864
jpetstore,stage3,3,reverse_semantic_0.05,,achieved,0,seed3_solution001,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.43705532693187010285,0.74814814814814811772,2.9705882352941177516,4,6,7,5,0.29166666666666657415,0,0.1666666666666666019,0.25185185185185182677,4.9690476190476191576,0.1666666666666666019,0.46566906033572091905,0.011343184780135299322,0.18350341907227391003,0.090951864225554193699,False,False,0.011343184780135299322,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.050000000000000002776,0.011343184780135299322
jpetstore,stage3,3,reverse_semantic_0.10,,achieved,0,seed3_solution013,"[0, 1, 1, 2, 2, 3, 0, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.40463039170858100535,0.68148148148148135483,2.1395348837209300363,4,6,8,3,0.33333333333333331483,0,0.35355339059327367535,0.31851851851851847863,7.3571428571428576504,0.35355339059327367535,0.4459534018833455904,0.084691182656304805909,-0.73205080756887741522,0.12943946000607781111,False,False,0.084691182656304805909,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.10000000000000000555,0.084691182656304805909
jpetstore,stage3,3,reverse_semantic_0.20,,achieved,0,seed3_solution021,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3, 2, 3, 0, 0, 0, 2, 0]",False,,,False,0.3653254077122389254,0.65925925925925921156,1.9347826086956521063,4,6,7,4,0.29166666666666657415,0,0.20412414523193139759,0.34074074074074067742,5.192857142857142172,0.20412414523193139759,0.35693216733158289466,0.17360244378400369047,0,0.30322078714702527247,False,False,0.17360244378400369047,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.2000000000000000111,0.17360244378400369047
jpetstore,stage3,3,reverse_semantic_0.30,,achieved,0,seed3_solution021,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3, 2, 3, 0, 0, 0, 2, 0]",False,,,False,0.3653254077122389254,0.65925925925925921156,1.9347826086956521063,4,6,7,4,0.29166666666666657415,0,0.20412414523193139759,0.34074074074074067742,5.192857142857142172,0.20412414523193139759,0.35693216733158289466,0.17360244378400369047,0,0.30322078714702527247,False,False,0.17360244378400369047,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.29999999999999987788,0.17360244378400369047
jpetstore,stage3,4,reverse_semantic_0.05,,achieved,0,seed4_solution017,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.40838896509678401792,0.68395061728395045719,2.1640625,4,6,7,5,0.29166666666666657415,0,0.1666666666666666019,0.31604938271604932076,5.6678571428571427049,0.1666666666666666019,0.39950873770827022291,0.076188965735996899697,0.18350341907227391003,0.22010564116611450181,False,False,0.076188965735996899697,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.050000000000000002776,0.076188965735996899697
jpetstore,stage3,4,reverse_semantic_0.10,,achieved,0,seed4_solution017,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.40838896509678401792,0.68395061728395045719,2.1640625,4,6,7,5,0.29166666666666657415,0,0.1666666666666666019,0.31604938271604932076,5.6678571428571427049,0.1666666666666666019,0.39950873770827022291,0.076188965735996899697,0.18350341907227391003,0.22010564116611450181,False,False,0.076188965735996899697,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.10000000000000000555,0.076188965735996899697
jpetstore,stage3,4,reverse_semantic_0.20,,achieved,0,seed4_solution017,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.40838896509678401792,0.68395061728395045719,2.1640625,4,6,7,5,0.29166666666666657415,0,0.1666666666666666019,0.31604938271604932076,5.6678571428571427049,0.1666666666666666019,0.39950873770827022291,0.076188965735996899697,0.18350341907227391003,0.22010564116611450181,False,False,0.076188965735996899697,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.2000000000000000111,0.076188965735996899697
jpetstore,stage3,4,reverse_semantic_0.30,,achieved,0,seed4_solution022,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3, 2, 3, 0, 0, 0, 2, 0]",False,,,False,0.3653254077122389254,0.65925925925925921156,1.9347826086956521063,4,6,7,4,0.29166666666666657415,0,0.20412414523193139759,0.34074074074074067742,5.192857142857142172,0.20412414523193139759,0.35693216733158289466,0.17360244378400369047,0,0.30322078714702527247,False,False,0.17360244378400369047,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.29999999999999987788,0.17360244378400369047
