subject,ssa_lambda,resolution,raw_edge_count,g_ssa_edge_count,new_ssa_edge_count,ssa_weight_share,cluster_count,max_cluster_ratio,singleton_ratio,weighted_modularity,internal_edge_weight_ratio,mojofm_vs_reference,pairwise_f1,reference_coverage_ratio,ari_vs_reference,nmi_vs_reference,pairwise_precision,pairwise_recall
daytrader,1.0,0.75,267,275,8,0.23802895322939865,26,0.36363636363636365,0.12396694214876033,0.3340046133823763,0.6648106904231625,61.111111111111114,0.2066187050359712,1.0,-0.01947657841513971,0.313651472165535,0.2833464877663773,0.16259057971014493
daytrader,2.0,0.75,267,275,8,0.3845288958848662,27,0.371900826446281,0.12396694214876033,0.34015470618673777,0.6192939060040477,59.25925925925925,0.20304271503803395,1.0,-0.015659955257270694,0.31332136210874156,0.28677685950413223,0.15715579710144928
daytrader,3.0,0.75,267,275,8,0.483779705771407,28,0.35537190082644626,0.12396694214876033,0.33865627028995143,0.6565447001131648,61.111111111111114,0.2114114114114114,1.0,0.008131086296647291,0.3495614753713337,0.3137254901960784,0.15942028985507245
daytrader,4.0,0.75,267,275,8,0.555465324021439,27,0.371900826446281,0.12396694214876033,0.349321325062256,0.6285528666558389,61.111111111111114,0.23974208675263775,1.0,0.03196298023424795,0.34077973234849357,0.33970099667774084,0.1852355072463768
daytrader,0.0,1.0,267,267,0,0.0,28,0.2644628099173554,0.12396694214876033,0.35742358769372207,0.5999269272926562,65.74074074074075,0.240365774003919,1.0,0.08516757484862553,0.40906631959772843,0.4309133489461358,0.16666666666666666
daytrader,0.25,1.0,267,275,8,0.07243921037024485,28,0.3140495867768595,0.12396694214876033,0.35264950977350257,0.5995933237312547,62.03703703703704,0.207136090937796,1.0,0.02812830468235704,0.36369055132141154,0.3420229405630866,0.14855072463768115
daytrader,0.5,1.0,267,275,8,0.13509243166376994,28,0.3140495867768595,0.12396694214876033,0.35271296425443616,0.5958287249170485,62.03703703703704,0.207136090937796,1.0,0.02812830468235704,0.36369055132141154,0.3420229405630866,0.14855072463768115
daytrader,1.0,1.0,267,275,8,0.23802895322939865,28,0.2975206611570248,0.12396694214876033,0.3481862844182341,0.566815144766147,61.111111111111114,0.22042663219133804,1.0,0.0559973916789902,0.36819588020493227,0.38487584650112866,0.15443840579710144
daytrader,2.0,1.0,267,275,8,0.3845288958848662,28,0.30578512396694213,0.12396694214876033,0.3516423272494208,0.5520575668990331,62.03703703703704,0.2221512926907118,1.0,0.0518820756688627,0.3736692233834511,0.3762162162162162,0.15760869565217392
daytrader,3.0,1.0,267,275,8,0.483779705771407,29,0.32231404958677684,0.12396694214876033,0.3546476166584692,0.528291210863825,62.03703703703704,0.2164392256426531,1.0,0.042060345109537364,0.37697576878040745,0.3616118769883351,0.15443840579710144
daytrader,4.0,1.0,267,275,8,0.555465324021439,29,0.3305785123966942,0.12396694214876033,0.3549097858908133,0.5270423907747279,62.03703703703704,0.21457616515483263,1.0,0.032528930419880364,0.36253372317899296,0.3468149646107179,0.15534420289855072
