subject,budget,budget_label,metric,metric_category,metric_direction,availability_count,mean,median,std,minimum,maximum,better_count,tie_count,worse_count
daytrader,0.1,10%,relative_coupling_change_vs_leiden,structural,lower_is_better,30,0.11379690949227374,0.06732891832229576,0.15354092992702467,-0.17439293598233999,0.48785871964679917,2.0,3.0,25.0
daytrader,0.1,10%,cohesion,structural,higher_is_better,30,9.28950302980305,7.213993968993969,5.264061027332099,4.691717171717171,28.7247259173575,22.0,1.0,7.0
daytrader,0.1,10%,relative_cohesion_change_vs_leiden,structural,higher_is_better,30,0.42024448401720876,0.10292607788883146,0.804806631055793,-0.2826973184332549,3.3916378958216535,22.0,1.0,7.0
daytrader,0.1,10%,cluster_count,structural,descriptive,30,8.666666666666666,9.0,1.516196087157807,5.0,11.0,,,
daytrader,0.1,10%,cluster_count_change_vs_leiden,structural,descriptive,30,-2.3333333333333335,-2.0,1.5161960871578064,-6.0,0.0,,,
daytrader,0.1,10%,max_cluster_ratio,structural,descriptive,30,0.24150943396226418,0.24528301886792453,0.03552398588102642,0.16981132075471697,0.37735849056603776,,,
daytrader,0.1,10%,max_cluster_ratio_change_vs_leiden,structural,descriptive,30,-0.0037735849056603757,0.0,0.03552398588102642,-0.07547169811320756,0.13207547169811323,,,
daytrader,0.1,10%,singleton_count,structural,descriptive,30,0.9333333333333333,1.0,1.1426929274467317,0.0,4.0,,,
daytrader,0.1,10%,ari_vs_leiden,partition_similarity,descriptive,30,0.6397965344856024,0.7389507391875894,0.3138413623465374,0.027421741038506246,1.0,,,
daytrader,0.1,10%,nmi_vs_leiden,partition_similarity,descriptive,30,0.7573963513838068,0.8281518268772567,0.22058686382184586,0.2770918509778221,1.0000000000000002,,,
daytrader,0.1,10%,changed_class_ratio,partition_similarity,descriptive,30,0.7584905660377358,0.8773584905660378,0.26932382674358546,0.0,1.0,,,
daytrader,0.1,10%,mojofm_vs_reference,external,descriptive,30,22.97101449275362,23.913043478260864,3.858664857589111,10.869565217391308,28.260869565217394,,,
daytrader,0.1,10%,pairwise_f1,external,descriptive,30,0.16101128548014892,0.16561576354679802,0.020891074796089048,0.11241217798594848,0.1899736147757256,,,
daytrader,0.1,10%,ari_vs_reference,external,descriptive,30,0.025746852205698133,0.03150939185119645,0.025060594343082183,-0.045598875644162186,0.06119541433840336,,,
daytrader,0.1,10%,nmi_vs_reference,external,descriptive,30,0.36809805889404806,0.38142689120288775,0.05158062939178706,0.20977637866104906,0.42832512967876524,,,
daytrader,0.1,10%,pairwise_precision,external,descriptive,30,0.15199915843346493,0.1561737829664076,0.0201568956289389,0.09716599190283401,0.18090452261306533,,,
daytrader,0.1,10%,pairwise_recall,external,descriptive,30,0.1731481481481482,0.17777777777777778,0.028778278273926025,0.1111111111111111,0.25,,,
daytrader,0.1,10%,reference_coverage_ratio,external,descriptive,30,1.0,1.0,0.0,1.0,1.0,,,
jpetstore,0.01,1%,weighted_modularity,structural,higher_is_better,30,0.4417355077986082,0.44206980643194654,0.0006163269061468874,0.44063709800335327,0.44206980643194654,0.0,23.0,7.0
jpetstore,0.01,1%,relative_modularity_loss_vs_leiden,structural,lower_is_better,30,0.000756212318675725,0.0,0.0013941845771404575,0.0,0.0032409099371816788,0.0,23.0,7.0
jpetstore,0.01,1%,imbalance,structural,lower_is_better,30,0.183993775057291,0.20412414523193148,0.03711319021985796,0.11785113019775793,0.20412414523193148,7.0,23.0,0.0
jpetstore,0.01,1%,relative_imbalance_improvement_vs_leiden,structural,higher_is_better,30,0.09861827052242063,0.0,0.18181675753100612,0.0,0.4226497308103741,7.0,23.0,0.0
jpetstore,0.01,1%,coupling,structural,lower_is_better,30,0.25185185185185177,0.2518518518518518,5.646012854083702e-17,0.2518518518518518,0.2518518518518518,0.0,30.0,0.0
jpetstore,0.01,1%,relative_coupling_change_vs_leiden,structural,lower_is_better,30,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
jpetstore,0.01,1%,cohesion,structural,higher_is_better,30,5.3232142857142835,5.477380952380952,0.2842280979397646,4.816666666666666,5.477380952380952,0.0,23.0,7.0
jpetstore,0.01,1%,relative_cohesion_change_vs_leiden,structural,higher_is_better,30,-0.02814605520539013,0.0,0.051891241527798816,-0.12062595088024342,0.0,0.0,23.0,7.0
jpetstore,0.01,1%,cluster_count,structural,descriptive,30,4.0,4.0,0.0,4.0,4.0,,,
jpetstore,0.01,1%,cluster_count_change_vs_leiden,structural,descriptive,30,0.0,0.0,0.0,0.0,0.0,,,
jpetstore,0.01,1%,max_cluster_ratio,structural,descriptive,30,0.2916666666666667,0.2916666666666667,0.0,0.2916666666666667,0.2916666666666667,,,
jpetstore,0.01,1%,max_cluster_ratio_change_vs_leiden,structural,descriptive,30,0.0,0.0,0.0,0.0,0.0,,,
jpetstore,0.01,1%,singleton_count,structural,descriptive,30,0.0,0.0,0.0,0.0,0.0,,,
jpetstore,0.01,1%,ari_vs_leiden,partition_similarity,descriptive,30,0.975732911297008,1.0,0.044739817067591024,0.8959981912728917,1.0,,,
jpetstore,0.01,1%,nmi_vs_leiden,partition_similarity,descriptive,30,0.9809619083968735,1.0,0.03509941987952215,0.9184081788437434,1.0,,,
jpetstore,0.01,1%,changed_class_ratio,partition_similarity,descriptive,30,0.10694444444444445,0.0,0.19716723911136833,0.0,0.4583333333333333,,,
jpetstore,0.01,1%,mojofm_vs_reference,external,descriptive,0,,,,,,,,
jpetstore,0.01,1%,pairwise_f1,external,descriptive,0,,,,,,,,
jpetstore,0.01,1%,ari_vs_reference,external,descriptive,0,,,,,,,,
jpetstore,0.01,1%,nmi_vs_reference,external,descriptive,0,,,,,,,,
jpetstore,0.01,1%,pairwise_precision,external,descriptive,0,,,,,,,,
jpetstore,0.01,1%,pairwise_recall,external,descriptive,0,,,,,,,,
jpetstore,0.01,1%,reference_coverage_ratio,external,descriptive,0,,,,,,,,
jpetstore,0.03,3%,weighted_modularity,structural,higher_is_better,30,0.43607600467408447,0.43669257735101386,0.001722206975114306,0.4341197988111571,0.44063709800335327,0.0,0.0,30.0
jpetstore,0.03,3%,relative_modularity_loss_vs_leiden,structural,lower_is_better,30,0.013558496125848259,0.012163755594017195,0.0038957805985770882,0.0032409099371816788,0.017983602374828336,0.0,0.0,30.0
jpetstore,0.03,3%,imbalance,structural,lower_is_better,30,0.07856742013183861,0.11785113019775793,0.05650529196840087,0.0,0.11785113019775793,30.0,0.0,0.0
jpetstore,0.03,3%,relative_imbalance_improvement_vs_leiden,structural,higher_is_better,30,0.6150998205402495,0.4226497308103741,0.2768182661791333,0.4226497308103741,1.0,30.0,0.0,0.0
jpetstore,0.03,3%,coupling,structural,lower_is_better,30,0.26222222222222213,0.2518518518518518,0.011275916964553904,0.2518518518518518,0.2740740740740741,0.0,16.0,14.0
jpetstore,0.03,3%,relative_coupling_change_vs_leiden,structural,lower_is_better,30,0.041176470588235356,0.0,0.044772023241611086,0.0,0.08823529411764719,0.0,16.0,14.0
jpetstore,0.03,3%,cohesion,structural,higher_is_better,30,4.940873015873016,4.908333333333333,0.11324501072883678,4.816666666666666,5.219047619047619,0.0,0.0,30.0
jpetstore,0.03,3%,relative_cohesion_change_vs_leiden,structural,higher_is_better,30,-0.09794972107512856,-0.10389045859595736,0.02067502912676003,-0.12062595088024342,-0.0471636600738969,0.0,0.0,30.0
jpetstore,0.03,3%,cluster_count,structural,descriptive,30,4.0,4.0,0.0,4.0,4.0,,,
jpetstore,0.03,3%,cluster_count_change_vs_leiden,structural,descriptive,30,0.0,0.0,0.0,0.0,0.0,,,
jpetstore,0.03,3%,max_cluster_ratio,structural,descriptive,30,0.2777777777777778,0.2916666666666667,0.019977637561891016,0.25,0.2916666666666667,,,
jpetstore,0.03,3%,max_cluster_ratio_change_vs_leiden,structural,descriptive,30,-0.013888888888888895,0.0,0.019977637561891016,-0.041666666666666685,0.0,,,
jpetstore,0.03,3%,singleton_count,structural,descriptive,30,0.0,0.0,0.0,0.0,0.0,,,
jpetstore,0.03,3%,ari_vs_leiden,partition_similarity,descriptive,30,0.8089161856708961,0.7919963825457834,0.044592078833381066,0.7803547066848567,0.8959981912728917,,,
jpetstore,0.03,3%,nmi_vs_leiden,partition_similarity,descriptive,30,0.8520077845337782,0.8362856393740392,0.03378098408559085,0.8341785511714336,0.9184081788437436,,,
jpetstore,0.03,3%,changed_class_ratio,partition_similarity,descriptive,30,0.672222222222222,0.7083333333333334,0.11036627744903142,0.4583333333333333,0.75,,,
jpetstore,0.03,3%,mojofm_vs_reference,external,descriptive,0,,,,,,,,
jpetstore,0.03,3%,pairwise_f1,external,descriptive,0,,,,,,,,
jpetstore,0.03,3%,ari_vs_reference,external,descriptive,0,,,,,,,,
jpetstore,0.03,3%,nmi_vs_reference,external,descriptive,0,,,,,,,,
jpetstore,0.03,3%,pairwise_precision,external,descriptive,0,,,,,,,,
jpetstore,0.03,3%,pairwise_recall,external,descriptive,0,,,,,,,,
jpetstore,0.03,3%,reference_coverage_ratio,external,descriptive,0,,,,,,,,
jpetstore,0.05,5%,weighted_modularity,structural,higher_is_better,30,0.4309450795102376,0.4277366255144036,0.0038372889805984092,0.42449931412894404,0.43669257735101386,0.0,0.0,30.0
jpetstore,0.05,5%,relative_modularity_loss_vs_leiden,structural,lower_is_better,30,0.02516509103279271,0.03242289047793048,0.008680278374065186,0.012163755594017195,0.03974596782534922,0.0,0.0,30.0
jpetstore,0.05,5%,imbalance,structural,lower_is_better,30,0.015713484026367724,0.0,0.04074654550542658,0.0,0.11785113019775793,30.0,0.0,0.0
jpetstore,0.05,5%,relative_imbalance_improvement_vs_leiden,structural,higher_is_better,30,0.9230199641080499,1.0,0.1996164905387808,0.4226497308103741,1.0,30.0,0.0,0.0
jpetstore,0.05,5%,coupling,structural,lower_is_better,30,0.27218106995884767,0.2740740740740741,0.007123355587250871,0.2518518518518518,0.2839506172839506,0.0,3.0,27.0
jpetstore,0.05,5%,relative_coupling_change_vs_leiden,structural,lower_is_better,30,0.08071895424836613,0.08823529411764719,0.028283911890554934,0.0,0.1274509803921569,0.0,3.0,27.0
jpetstore,0.05,5%,cohesion,structural,higher_is_better,30,4.909246031746033,4.9,0.05985024066044249,4.833333333333334,5.219047619047619,0.0,0.0,30.0
jpetstore,0.05,5%,relative_cohesion_change_vs_leiden,structural,higher_is_better,30,-0.10372382815329992,-0.10541186698543782,0.010926798990387239,-0.11758313410128217,-0.0471636600738969,0.0,0.0,30.0
jpetstore,0.05,5%,cluster_count,structural,descriptive,30,4.0,4.0,0.0,4.0,4.0,,,
jpetstore,0.05,5%,cluster_count_change_vs_leiden,structural,descriptive,30,0.0,0.0,0.0,0.0,0.0,,,
jpetstore,0.05,5%,max_cluster_ratio,structural,descriptive,30,0.2555555555555556,0.25,0.014406079318406689,0.25,0.2916666666666667,,,
jpetstore,0.05,5%,max_cluster_ratio_change_vs_leiden,structural,descriptive,30,-0.036111111111111135,-0.041666666666666685,0.01440607931840669,-0.041666666666666685,0.0,,,
jpetstore,0.05,5%,singleton_count,structural,descriptive,30,0.0,0.0,0.0,0.0,0.0,,,
jpetstore,0.05,5%,ari_vs_leiden,partition_similarity,descriptive,30,0.7261042922277343,0.6757617098681219,0.06780829518834268,0.5711687130513871,0.8959981912728917,,,
jpetstore,0.05,5%,nmi_vs_leiden,partition_similarity,descriptive,30,0.7907780599686233,0.7522629259735253,0.051892825203443585,0.6703473007756172,0.9184081788437436,,,
jpetstore,0.05,5%,changed_class_ratio,partition_similarity,descriptive,30,0.8694444444444444,1.0,0.15111864698360625,0.4583333333333333,1.0,,,
jpetstore,0.05,5%,mojofm_vs_reference,external,descriptive,0,,,,,,,,
jpetstore,0.05,5%,pairwise_f1,external,descriptive,0,,,,,,,,
jpetstore,0.05,5%,ari_vs_reference,external,descriptive,0,,,,,,,,
jpetstore,0.05,5%,nmi_vs_reference,external,descriptive,0,,,,,,,,
jpetstore,0.05,5%,pairwise_precision,external,descriptive,0,,,,,,,,
jpetstore,0.05,5%,pairwise_recall,external,descriptive,0,,,,,,,,
jpetstore,0.05,5%,reference_coverage_ratio,external,descriptive,0,,,,,,,,
jpetstore,0.1,10%,weighted_modularity,structural,higher_is_better,30,0.42884428186760176,0.4277366255144036,0.007532352791877996,0.3988203017832648,0.43669257735101386,0.0,0.0,30.0
jpetstore,0.1,10%,relative_modularity_loss_vs_leiden,structural,lower_is_better,30,0.02991727634848265,0.03242289047793048,0.017038831158077628,0.012163755594017195,0.09783410678453498,0.0,0.0,30.0
jpetstore,0.1,10%,imbalance,structural,lower_is_better,30,0.007856742013183862,0.0,0.029899790061496814,0.0,0.11785113019775793,30.0,0.0,0.0
jpetstore,0.1,10%,relative_imbalance_improvement_vs_leiden,structural,higher_is_better,30,0.9615099820540249,1.0,0.14647845813401378,0.4226497308103741,1.0,30.0,0.0,0.0
jpetstore,0.1,10%,coupling,structural,lower_is_better,30,0.2749794238683127,0.2740740740740741,0.01036435458373644,0.2518518518518518,0.3135802469135803,0.0,2.0,28.0
jpetstore,0.1,10%,relative_coupling_change_vs_leiden,structural,lower_is_better,30,0.09183006535947726,0.08823529411764719,0.041152584376600576,0.0,0.24509803921568651,0.0,2.0,28.0
jpetstore,0.1,10%,cohesion,structural,higher_is_better,30,4.884444444444445,4.9,0.055997286013417295,4.633333333333333,4.908333333333333,0.0,0.0,30.0
jpetstore,0.1,10%,relative_cohesion_change_vs_leiden,structural,higher_is_better,30,-0.10825182931246823,-0.10541186698543782,0.010223368887474578,-0.1540969354488155,-0.10389045859595736,0.0,0.0,30.0
jpetstore,0.1,10%,cluster_count,structural,descriptive,30,4.0,4.0,0.0,4.0,4.0,,,
jpetstore,0.1,10%,cluster_count_change_vs_leiden,structural,descriptive,30,0.0,0.0,0.0,0.0,0.0,,,
jpetstore,0.1,10%,max_cluster_ratio,structural,descriptive,30,0.2527777777777778,0.25,0.010571172154269271,0.25,0.2916666666666667,,,
jpetstore,0.1,10%,max_cluster_ratio_change_vs_leiden,structural,descriptive,30,-0.03888888888888891,-0.041666666666666685,0.010571172154269271,-0.041666666666666685,0.0,,,
jpetstore,0.1,10%,singleton_count,structural,descriptive,30,0.0,0.0,0.0,0.0,0.0,,,
jpetstore,0.1,10%,ari_vs_leiden,partition_similarity,descriptive,30,0.7155858737370981,0.6757617098681219,0.058785498458835586,0.5711687130513871,0.7919963825457834,,,
jpetstore,0.1,10%,nmi_vs_leiden,partition_similarity,descriptive,30,0.7838393465566704,0.7522629259735253,0.0454039115009403,0.6703473007756172,0.8362856393740392,,,
jpetstore,0.1,10%,changed_class_ratio,partition_similarity,descriptive,30,0.888888888888889,1.0,0.12962392798991676,0.7083333333333334,1.0,,,
jpetstore,0.1,10%,mojofm_vs_reference,external,descriptive,0,,,,,,,,
jpetstore,0.1,10%,pairwise_f1,external,descriptive,0,,,,,,,,
jpetstore,0.1,10%,ari_vs_reference,external,descriptive,0,,,,,,,,
jpetstore,0.1,10%,nmi_vs_reference,external,descriptive,0,,,,,,,,
jpetstore,0.1,10%,pairwise_precision,external,descriptive,0,,,,,,,,
jpetstore,0.1,10%,pairwise_recall,external,descriptive,0,,,,,,,,
jpetstore,0.1,10%,reference_coverage_ratio,external,descriptive,0,,,,,,,,
xerces-j,0.01,1%,weighted_modularity,structural,higher_is_better,30,0.6588413854909096,0.6601631455371353,0.003374241409809409,0.6493532044606564,0.6620448141255381,1.0,9.0,20.0
xerces-j,0.01,1%,relative_modularity_loss_vs_leiden,structural,lower_is_better,30,0.004047891088385586,0.002049823367529171,0.00510074643470154,-0.0007946424480117095,0.018390909172737776,1.0,9.0,20.0
