source,target,flow_type,weight,evidence_method,evidence_statement
org.easymock.internal.matchers.ArrayEquals,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: short[] aryEq(short[])>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.ArrayEquals,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: java.lang.Object[] aryEq(java.lang.Object[])>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.Null,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: java.lang.Object isNull()>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.Null,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: java.lang.Object isNull(java.lang.Class)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.NotNull,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: java.lang.Object notNull()>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.NotNull,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: java.lang.Object notNull(java.lang.Class)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.Find,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: java.lang.String find(java.lang.String)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.Matches,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: java.lang.String matches(java.lang.String)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.StartsWith,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: java.lang.String startsWith(java.lang.String)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.EndsWith,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: java.lang.String endsWith(java.lang.String)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.EqualsWithDelta,org.easymock.EasyMock,argument_passing_flow,3,"<org.easymock.EasyMock: double eq(double,double)>",staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.EqualsWithDelta,org.easymock.EasyMock,argument_passing_flow,3,"<org.easymock.EasyMock: float eq(float,float)>",staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.Same,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: java.lang.Object same(java.lang.Object)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.CompareEqual,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: java.lang.Comparable cmpEq(java.lang.Comparable)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.LogicalOperator,org.easymock.internal.matchers.Compare,argument_passing_flow,3,"<org.easymock.EasyMock: java.lang.Object 'cmp'(java.lang.Object,java.util.Comparator,org.easymock.LogicalOperator)>","specialinvoke $r0.<org.easymock.internal.matchers.Compare: void <init>(java.lang.Object,java.util.Comparator,org.easymock.LogicalOperator)>(r1, r2, r3)"
org.easymock.internal.matchers.Compare,org.easymock.EasyMock,argument_passing_flow,3,"<org.easymock.EasyMock: java.lang.Object 'cmp'(java.lang.Object,java.util.Comparator,org.easymock.LogicalOperator)>",staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.CaptureType,org.easymock.Capture,argument_passing_flow,3,<org.easymock.EasyMock: org.easymock.Capture newCapture(org.easymock.CaptureType)>,$r1 = staticinvoke <org.easymock.Capture: org.easymock.Capture newInstance(org.easymock.CaptureType)>(r0)
org.easymock.CaptureType,org.easymock.Capture,argument_passing_flow,3,"<org.easymock.EasyMock: org.easymock.Capture newCapture(org.easymock.CaptureType,java.util.function.UnaryOperator)>","$r2 = staticinvoke <org.easymock.Capture: org.easymock.Capture newInstance(org.easymock.CaptureType,java.util.function.UnaryOperator)>(r0, r1)"
org.easymock.Capture,org.easymock.internal.matchers.Captures,argument_passing_flow,3,<org.easymock.EasyMock: java.lang.Object capture(org.easymock.Capture)>,specialinvoke $r0.<org.easymock.internal.matchers.Captures: void <init>(org.easymock.Capture)>(r1)
org.easymock.internal.matchers.Captures,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: java.lang.Object capture(org.easymock.Capture)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.Capture,org.easymock.internal.matchers.Captures,argument_passing_flow,3,<org.easymock.EasyMock: boolean captureBoolean(org.easymock.Capture)>,specialinvoke $r0.<org.easymock.internal.matchers.Captures: void <init>(org.easymock.Capture)>(r1)
org.easymock.internal.matchers.Captures,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: boolean captureBoolean(org.easymock.Capture)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.Capture,org.easymock.internal.matchers.Captures,argument_passing_flow,3,<org.easymock.EasyMock: int captureInt(org.easymock.Capture)>,specialinvoke $r0.<org.easymock.internal.matchers.Captures: void <init>(org.easymock.Capture)>(r1)
