subject,class_id,model_token_count,model_max_sequence_length,tokenizer_truncated,declaration_token_count,body_section_token_count,contract_body_tokens_truncated,declaration_section_affected,body_section_affected
xerces,org.apache.xerces.impl.dtd.XML11DTDValidator,67,32768,false,24,34,0,false,false
xerces,org.apache.xerces.impl.dtd.XML11NSDTDValidator,101,32768,false,45,47,0,false,false
xerces,org.apache.xerces.impl.dtd.XMLAttributeDecl,46,32768,false,24,13,0,false,false
xerces,org.apache.xerces.impl.dtd.XMLContentSpec,85,32768,false,50,26,0,false,false
xerces,org.apache.xerces.impl.dtd.XMLContentSpec$Provider,30,32768,false,19,3,0,false,false
xerces,org.apache.xerces.impl.dtd.XMLDTDDescription,98,32768,false,62,27,0,false,false
xerces,org.apache.xerces.impl.dtd.XMLDTDLoader,274,32768,false,163,102,0,false,false
xerces,org.apache.xerces.impl.dtd.XMLDTDProcessor,795,32768,false,581,205,0,false,false
xerces,org.apache.xerces.impl.dtd.XMLDTDValidator,811,32768,false,513,289,0,false,false
xerces,org.apache.xerces.impl.dtd.XMLDTDValidatorFilter,32,32768,false,21,3,0,false,false
xerces,org.apache.xerces.impl.dtd.XMLElementDecl,64,32768,false,30,25,0,false,false
xerces,org.apache.xerces.impl.dtd.XMLEntityDecl,80,32768,false,50,21,0,false,false
xerces,org.apache.xerces.impl.dtd.XMLNSDTDValidator,99,32768,false,41,49,0,false,false
xerces,org.apache.xerces.impl.dtd.XMLNotationDecl,44,32768,false,24,11,0,false,false
xerces,org.apache.xerces.impl.dtd.XMLSimpleType,97,32768,false,41,47,0,false,false
xerces,org.apache.xerces.impl.dtd.models.CMAny,88,32768,false,56,23,0,false,false
xerces,org.apache.xerces.impl.dtd.models.CMBinOp,90,32768,false,48,33,0,false,false
xerces,org.apache.xerces.impl.dtd.models.CMLeaf,87,32768,false,51,27,0,false,false
xerces,org.apache.xerces.impl.dtd.models.CMNode,128,32768,false,85,34,0,false,false
xerces,org.apache.xerces.impl.dtd.models.CMStateSet,135,32768,false,76,50,0,false,false
xerces,org.apache.xerces.impl.dtd.models.CMUniOp,71,32768,false,40,22,0,false,false
xerces,org.apache.xerces.impl.dtd.models.ContentModelValidator,28,32768,false,17,3,0,false,false
xerces,org.apache.xerces.impl.dtd.models.DFAContentModel,180,32768,false,69,102,0,false,false
