stage2_seed,matching_scope,match_found,stage2_solution_id,stage2_imbalance,stage2_weighted_modularity,stage2_coupling,stage2_cohesion,stage2_cluster_count,stage2_singleton_ratio,stage2_max_cluster_ratio,leiden_seed,leiden_resolution,leiden_imbalance,leiden_weighted_modularity,leiden_coupling,leiden_cohesion,leiden_cluster_count,leiden_singleton_ratio,leiden_max_cluster_ratio,leiden_stage2_feasible,imbalance_gap,cluster_count_difference,stage2_minus_leiden_modularity,stage2_minus_leiden_coupling,stage2_minus_leiden_cohesion
20,same_seed,True,seed20_solution049,0.4116495137598382,0.269597257492409,0.5009225092250923,5.951851851851852,9,0.0,0.1886792452830188,20,2.75,0.5517053402722055,0.220255885676938,0.6642066420664207,10.036904761904761,16,0.07547169811320754,0.1320754716981132,True,0.1400558265123673,-7,0.04934137181547099,-0.16328413284132837,-4.08505291005291
21,same_seed,True,seed21_solution036,0.5987408170800917,0.2908870938916955,0.4363468634686346,7.234480103230103,8,0.0,0.2641509433962264,21,2.5,0.6014104698305369,0.2859247772021078,0.5618081180811808,11.107843137254903,17,0.09433962264150944,0.1509433962264151,True,0.002669652750445173,-9,0.004962316689587687,-0.1254612546125462,-3.8733630340248
22,same_seed,True,seed22_solution044,0.6203502725574942,0.2107927196661266,0.445110701107011,6.386263736263737,10,0.0,0.2452830188679245,22,2.0,0.610224967124386,0.2967887275159651,0.5424354243542435,9.547407407407407,15,0.07547169811320754,0.16981132075471697,True,0.01012530543310819,-5,-0.08599600784983849,-0.09732472324723251,-3.1611436711436705
23,same_seed,True,seed23_solution029,0.8482176148297745,0.324596763898912,0.4178966789667896,7.154761904761905,10,0.0566037735849056,0.2452830188679245,23,1.0,0.8929931748074893,0.324596763898912,0.41789667896678967,6.5407774044137685,11,0.07547169811320754,0.24528301886792453,True,0.04477555997771476,-1,0.0,-5.551115123125783e-17,0.6139845003481366
24,same_seed,True,seed24_solution051,0.52729013632008,0.1252555197369319,0.4432656826568266,5.611212121212121,10,0.0,0.2075471698113207,24,3.0,0.5719813732537403,0.2234805192263177,0.6605166051660517,9.5625,16,0.07547169811320754,0.1509433962264151,True,0.04469123693366028,-6,-0.09822499948938582,-0.21725092250922512,-3.9512878787878787
25,same_seed,True,seed25_solution039,0.6525138288977578,0.3223032561852371,0.4215867158671587,6.044011544011544,9,0.0188679245283018,0.2264150943396226,25,1.75,0.6929950064983758,0.3084043441333859,0.518450184501845,8.610714285714286,14,0.07547169811320754,0.16981132075471697,True,0.04048117760061798,-5,0.013898912051851176,-0.09686346863468631,-2.566702741702742
26,same_seed,True,seed26_solution044,0.2467301288796607,0.1409266877493498,0.4474169741697417,6.751448714684009,4,0.0,0.3396226415094339,26,3.0,0.5517053402722055,0.220255885676938,0.6642066420664207,10.036904761904761,16,0.07547169811320754,0.1320754716981132,True,0.3049752113925448,-12,-0.07932919792758819,-0.21678966789667897,-3.2854560472207526
27,same_seed,True,seed27_solution043,1.0861764501603213,0.1368551796680328,0.4838560885608856,21.135315664727425,13,0.0754716981132075,0.3396226415094339,27,0.75,1.1912221975595922,0.30746970782669064,0.32795202952029523,5.494911707373008,9,0.07547169811320754,0.37735849056603776,True,0.10504574739927097,4,-0.17061452815865785,0.15590405904059035,15.640403957354417
28,same_seed,True,seed28_solution057,0.3692525620902061,0.2221943039310469,0.518450184501845,5.208134920634921,8,0.0,0.1886792452830188,28,2.75,0.5719813732537403,0.2234805192263177,0.6605166051660517,9.5625,16,0.07547169811320754,0.1509433962264151,True,0.2027288111635342,-8,-0.001286215295270815,-0.14206642066420672,-4.354365079365079
29,same_seed,True,seed29_solution059,0.6574057128371451,0.1658814558625291,0.5465867158671587,15.189810806477473,9,0.0,0.2264150943396226,29,1.75,0.6484090670731918,0.3061187083849621,0.5202952029520295,8.181009070294785,14,0.07547169811320754,0.16981132075471697,True,0.008996645763953315,-5,-0.140237252522433,0.02629151291512921,7.008801736182688
