subject,seed,solution_id,mojofm_vs_reference,weighted_modularity,coupling,cohesion,imbalance,cluster_count,singleton_count,max_cluster_size,feasible,is_injected_seed,acceptable_strict,acceptable_lenient
daytrader,15,seed15_solution046,26.086956521739136,0.083636652210618,0.488929889298893,24.4969696969697,1.1011499216162166,11,1,21,True,False,False,False
daytrader,15,seed15_solution047,30.434782608695656,0.0996631224384199,0.4903136531365313,29.98489278752437,0.8711997268388827,9,1,19,True,False,False,False
daytrader,15,seed15_solution048,21.73913043478261,0.1113241624228974,0.4958487084870848,3.900705467372134,0.4193605805828843,9,0,9,True,False,False,False
daytrader,15,seed15_solution049,21.73913043478261,0.0920710374654484,0.4972324723247232,5.439490139490139,0.3529865459220699,9,0,11,True,False,False,False
daytrader,15,seed15_solution050,19.565217391304344,0.1020920492299941,0.5055350553505535,10.56281064614398,0.5153396333489684,9,0,12,True,False,False,False
daytrader,15,seed15_solution051,21.73913043478261,0.0077867565460709,0.5115313653136532,1.9604108309990664,0.1411946183688279,3,0,21,True,False,False,False
daytrader,15,seed15_solution052,21.73913043478261,0.0089011715186339,0.5124538745387454,2.028363392140482,0.1163096981692259,3,0,20,True,False,False,False
daytrader,15,seed15_solution053,28.26086956521739,0.090201871229967,0.5133763837638377,10.023492063492064,0.4776976943838552,10,1,10,True,False,False,False
daytrader,15,seed15_solution054,28.26086956521739,0.1089654450511295,0.5212177121771218,11.413403880070549,0.3706959000828018,9,0,10,True,False,False,False
daytrader,15,seed15_solution055,26.086956521739136,0.0855197539521519,0.5262915129151291,26.757740429505137,0.8524043017416238,10,0,18,True,False,False,False
daytrader,15,seed15_solution056,26.086956521739136,0.1000099144210997,0.5304428044280443,33.74565826330532,0.6831647920842141,8,0,18,True,False,False,False
daytrader,15,seed15_solution057,17.391304347826086,0.0888850190969622,0.5336715867158671,12.422398589065258,0.4963376014326756,9,1,10,True,False,False,False
daytrader,15,seed15_solution058,23.913043478260864,0.0989124135360358,0.5696494464944649,27.530805860805863,0.6317233601050267,10,1,13,True,False,False,False
daytrader,15,seed15_solution059,19.565217391304344,0.0671554164227067,0.5714944649446494,17.295636059846586,0.5924648478531163,5,0,19,True,False,False,False
daytrader,15,seed15_solution060,28.26086956521739,0.0559655241962936,0.5890221402214022,33.82757824283559,0.7657216561397368,8,0,17,True,False,False,False
daytrader,15,seed15_solution061,30.434782608695656,0.1139826527416566,0.5959409594095941,29.83694207027541,0.6670818690439126,9,0,14,True,False,False,False
daytrader,15,seed15_solution062,28.26086956521739,0.0808891235821952,0.6005535055350554,33.708928571428565,0.6128445950532723,8,0,16,True,False,False,False
daytrader,15,seed15_solution063,17.391304347826086,0.0623308591250118,0.6047047970479705,38.017239623121974,0.6308774904641694,7,0,17,True,False,False,False
daytrader,15,seed15_solution064,17.391304347826086,0.0707373733677373,0.6116236162361623,38.059477124183005,0.7159873947551049,7,0,17,True,False,False,False
