stage,focal_cluster_id,class_id,fully_qualified_name,package
stage2,C13,org.apache.xerces.impl.xs.util.XSNamedMap4Types,org.apache.xerces.impl.xs.util.XSNamedMap4Types,org.apache.xerces.impl.xs.util
stage2,C13,org.apache.xerces.impl.xs.util.XSNamedMapImpl,org.apache.xerces.impl.xs.util.XSNamedMapImpl,org.apache.xerces.impl.xs.util
stage2,C13,org.apache.xerces.impl.xs.util.XSNamedMapImpl$1,org.apache.xerces.impl.xs.util.XSNamedMapImpl$1,org.apache.xerces.impl.xs.util
stage2,C13,org.apache.xerces.impl.xs.util.XSNamedMapImpl$1$1,org.apache.xerces.impl.xs.util.XSNamedMapImpl$1$1,org.apache.xerces.impl.xs.util
stage2,C13,org.apache.xerces.impl.xs.util.XSNamedMapImpl$XSNamedMapEntry,org.apache.xerces.impl.xs.util.XSNamedMapImpl$XSNamedMapEntry,org.apache.xerces.impl.xs.util
stage2,C13,org.apache.xerces.impl.xs.util.XSObjectListImpl,org.apache.xerces.impl.xs.util.XSObjectListImpl,org.apache.xerces.impl.xs.util
stage2,C13,org.apache.xerces.impl.xs.util.XSObjectListImpl$1,org.apache.xerces.impl.xs.util.XSObjectListImpl$1,org.apache.xerces.impl.xs.util
stage2,C13,org.apache.xerces.impl.xs.util.XSObjectListImpl$XSObjectListIterator,org.apache.xerces.impl.xs.util.XSObjectListImpl$XSObjectListIterator,org.apache.xerces.impl.xs.util
stage2,C13,org.apache.xerces.util.DOMUtil,org.apache.xerces.util.DOMUtil,org.apache.xerces.util
stage2,C13,org.apache.xerces.util.DOMUtil$ThrowableMethods,org.apache.xerces.util.DOMUtil$ThrowableMethods,org.apache.xerces.util
stage2,C13,org.apache.xerces.util.SymbolHash,org.apache.xerces.util.SymbolHash,org.apache.xerces.util
stage2,C13,org.apache.xerces.util.SymbolHash$Entry,org.apache.xerces.util.SymbolHash$Entry,org.apache.xerces.util
stage2,C13,org.apache.xerces.xs.XSAnnotation,org.apache.xerces.xs.XSAnnotation,org.apache.xerces.xs
stage2,C13,org.apache.xerces.xs.XSAttributeDeclaration,org.apache.xerces.xs.XSAttributeDeclaration,org.apache.xerces.xs
stage2,C13,org.apache.xerces.xs.XSAttributeGroupDefinition,org.apache.xerces.xs.XSAttributeGroupDefinition,org.apache.xerces.xs
stage2,C13,org.apache.xerces.xs.XSAttributeUse,org.apache.xerces.xs.XSAttributeUse,org.apache.xerces.xs
stage2,C13,org.apache.xerces.xs.XSComplexTypeDefinition,org.apache.xerces.xs.XSComplexTypeDefinition,org.apache.xerces.xs
stage2,C13,org.apache.xerces.xs.XSElementDeclaration,org.apache.xerces.xs.XSElementDeclaration,org.apache.xerces.xs
stage2,C13,org.apache.xerces.xs.XSFacet,org.apache.xerces.xs.XSFacet,org.apache.xerces.xs
stage2,C13,org.apache.xerces.xs.XSIDCDefinition,org.apache.xerces.xs.XSIDCDefinition,org.apache.xerces.xs
stage2,C13,org.apache.xerces.xs.XSModelGroup,org.apache.xerces.xs.XSModelGroup,org.apache.xerces.xs
stage2,C13,org.apache.xerces.xs.XSModelGroupDefinition,org.apache.xerces.xs.XSModelGroupDefinition,org.apache.xerces.xs
stage2,C13,org.apache.xerces.xs.XSMultiValueFacet,org.apache.xerces.xs.XSMultiValueFacet,org.apache.xerces.xs
stage2,C13,org.apache.xerces.xs.XSNamedMap,org.apache.xerces.xs.XSNamedMap,org.apache.xerces.xs
stage2,C13,org.apache.xerces.xs.XSNamespaceItemList,org.apache.xerces.xs.XSNamespaceItemList,org.apache.xerces.xs
stage2,C13,org.apache.xerces.xs.XSNotationDeclaration,org.apache.xerces.xs.XSNotationDeclaration,org.apache.xerces.xs
stage2,C13,org.apache.xerces.xs.XSObject,org.apache.xerces.xs.XSObject,org.apache.xerces.xs
stage2,C13,org.apache.xerces.xs.XSObjectList,org.apache.xerces.xs.XSObjectList,org.apache.xerces.xs
stage2,C13,org.apache.xerces.xs.XSParticle,org.apache.xerces.xs.XSParticle,org.apache.xerces.xs
stage2,C13,org.apache.xerces.xs.XSSimpleTypeDefinition,org.apache.xerces.xs.XSSimpleTypeDefinition,org.apache.xerces.xs
stage2,C13,org.apache.xerces.xs.XSTerm,org.apache.xerces.xs.XSTerm,org.apache.xerces.xs
stage2,C13,org.apache.xerces.xs.XSTypeDefinition,org.apache.xerces.xs.XSTypeDefinition,org.apache.xerces.xs
stage2,C13,org.apache.xerces.xs.XSWildcard,org.apache.xerces.xs.XSWildcard,org.apache.xerces.xs
stage2,C13,org.apache.xerces.xs.datatypes.ObjectList,org.apache.xerces.xs.datatypes.ObjectList,org.apache.xerces.xs.datatypes
