stage,focal_cluster_id,source_class,target_class,weight
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar$BuiltinSchemaGrammar,org.apache.xerces.impl.xs.XSAttributeGroupDecl,2
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar$BuiltinSchemaGrammar,org.apache.xerces.impl.xs.XSComplexTypeDecl,5
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar$BuiltinSchemaGrammar,org.apache.xerces.impl.xs.XSDDescription,6
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar$BuiltinSchemaGrammar,org.apache.xerces.impl.xs.XSElementDecl,3
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar$BuiltinSchemaGrammar,org.apache.xerces.impl.xs.XSGroupDecl,3
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar$BuiltinSchemaGrammar,org.apache.xerces.impl.xs.XSNotationDecl,2
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar$BuiltinSchemaGrammar,org.apache.xerces.impl.xs.util.SimpleLocator,2
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar$BuiltinSchemaGrammar,org.apache.xerces.util.SymbolHash,72
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar$BuiltinSchemaGrammar,org.apache.xerces.xs.XSTypeDefinition,2
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar$Schema4Annotations,org.apache.xerces.parsers.DOMParser,1
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar$Schema4Annotations,org.apache.xerces.parsers.SAXParser,1
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar$Schema4Annotations,org.apache.xerces.util.XMLResourceIdentifierImpl,2
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar$Schema4Annotations,org.apache.xerces.xni.grammars.XMLGrammarDescription,1
stage2,C13,org.apache.xerces.impl.xs.SchemaGrammar$XSAnyType,org.apache.xerces.xs.XSNamespaceItem,1
stage2,C13,org.apache.xerces.impl.xs.SchemaNamespaceSupport,org.apache.xerces.impl.xs.SchemaNamespaceSupport$SchemaRootContext,7
stage2,C13,org.apache.xerces.impl.xs.SchemaNamespaceSupport,org.apache.xerces.util.NamespaceSupport,11
stage2,C13,org.apache.xerces.impl.xs.SchemaNamespaceSupport,org.apache.xerces.util.SymbolTable,1
stage2,C13,org.apache.xerces.impl.xs.SubstitutionGroupHandler,org.apache.xerces.impl.xs.XMLSchemaLoader,7
stage2,C13,org.apache.xerces.impl.xs.SubstitutionGroupHandler,org.apache.xerces.impl.xs.XMLSchemaValidator,3
stage2,C13,org.apache.xerces.impl.xs.SubstitutionGroupHandler,org.apache.xerces.impl.xs.models.XSCMValidator,2
stage2,C13,org.apache.xerces.impl.xs.SubstitutionGroupHandler,org.apache.xerces.impl.xs.models.XSDFACM,10
stage2,C13,org.apache.xerces.impl.xs.SubstitutionGroupHandler,org.apache.xerces.impl.xs.models.XSEmptyCM,2
stage2,C13,org.apache.xerces.impl.xs.SubstitutionGroupHandler,org.apache.xerces.xni.QName,1
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaException,org.apache.xerces.impl.xs.models.XSDFACM,2
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaLoader,org.apache.xerces.impl.xs.XSConstraints,6
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaLoader,org.apache.xerces.impl.xs.XSDDescription,21
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaLoader,org.apache.xerces.impl.xs.XSDeclarationPool,3
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaLoader,org.apache.xerces.impl.xs.XSElementDecl,1
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaLoader,org.apache.xerces.impl.xs.XSElementDeclHelper,1
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaLoader,org.apache.xerces.impl.xs.XSGrammarBucket,21
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaLoader,org.apache.xerces.impl.xs.XSModelImpl,4
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaLoader,org.apache.xerces.impl.xs.traversers.XSDHandler,23
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaValidator,org.apache.xerces.impl.xs.XSAttributeDecl,9
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaValidator,org.apache.xerces.impl.xs.XSAttributeGroupDecl,6
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaValidator,org.apache.xerces.impl.xs.XSAttributeUseImpl,1
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaValidator,org.apache.xerces.impl.xs.XSComplexTypeDecl,6
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaValidator,org.apache.xerces.impl.xs.XSConstraints,8
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaValidator,org.apache.xerces.impl.xs.XSDDescription,9
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaValidator,org.apache.xerces.impl.xs.XSElementDecl,19
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaValidator,org.apache.xerces.impl.xs.XSElementDeclHelper,1
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaValidator,org.apache.xerces.impl.xs.XSGrammarBucket,11
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaValidator,org.apache.xerces.impl.xs.XSNotationDecl,2
