subject,seed,solution_id,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,max_cluster_size,min_cluster_size,max_cluster_ratio,singleton_ratio,cluster_size_distribution,mojofm_vs_reference,pairwise_f1,reference_coverage_ratio,ari_vs_reference,nmi_vs_reference,pairwise_precision,pairwise_recall
daytrader,3,seed3_solution058,0.1073694572854403,0.5488929889298892,1.2167689161554192,4,13.25,15,11,0.2830188679245283,0.0,"{""11"": 1, ""13"": 1, ""14"": 1, ""15"": 1}",15.217391304347828,0.15717092337917485,1.0,-0.014066096932561634,0.21569435995498565,0.12158054711246201,0.2222222222222222
daytrader,3,seed3_solution059,0.10252841141188183,0.5299815498154982,1.1275760549558391,4,13.25,15,12,0.2830188679245283,0.0,"{""12"": 1, ""13"": 2, ""15"": 1}",15.217391304347828,0.15779092702169625,1.0,-0.012875994532866484,0.2028149023066413,0.12232415902140673,0.2222222222222222
daytrader,3,seed3_solution060,0.08655981076646561,0.5267527675276753,1.1130604288499026,5,10.6,15,3,0.2830188679245283,0.0,"{""13"": 2, ""15"": 1, ""3"": 1, ""9"": 1}",17.391304347826086,0.16666666666666669,1.0,0.004047412546978889,0.24468879141642744,0.13333333333333333,0.2222222222222222
daytrader,3,seed3_solution061,0.0966052894500349,0.5230627306273062,1.0967117988394584,4,13.25,14,12,0.2641509433962264,0.0,"{""12"": 1, ""13"": 1, ""14"": 2}",17.391304347826086,0.15810276679841895,1.0,-0.012277809583589129,0.20054090588281753,0.12269938650306748,0.2222222222222222
daytrader,3,seed3_solution062,0.0879616588485996,0.5101476014760148,1.0414312617702448,4,13.25,16,9,0.3018867924528302,0.0,"{""13"": 1, ""15"": 1, ""16"": 1, ""9"": 1}",17.391304347826086,0.16570327552986513,1.0,-0.00595472922167035,0.2116980320645947,0.12684365781710916,0.2388888888888889
daytrader,3,seed3_solution063,0.1015873924306587,0.5018450184501845,1.0074074074074073,5,10.6,14,2,0.2641509433962264,0.0,"{""11"": 1, ""12"": 1, ""14"": 2, ""2"": 1}",21.739130434782606,0.1652892561983471,1.0,0.0014349466917303944,0.2348438214485601,0.13157894736842105,0.2222222222222222
daytrader,3,seed3_solution064,0.10794634468484911,0.49584870848708484,0.9835315645013724,5,10.6,15,2,0.2830188679245283,0.0,"{""11"": 1, ""12"": 1, ""13"": 1, ""15"": 1, ""2"": 1}",17.391304347826086,0.14432989690721648,1.0,-0.02388412439797324,0.20425223493437172,0.11475409836065574,0.19444444444444445
daytrader,3,seed3_solution065,0.11166829495785736,0.49169741697416974,0.9673321234119783,5,10.6,16,2,0.3018867924528302,0.0,"{""11"": 1, ""12"": 2, ""16"": 1, ""2"": 1}",21.739130434782606,0.15983606557377047,1.0,-0.006047180831362724,0.21761869467826722,0.1266233766233766,0.21666666666666667
daytrader,3,seed3_solution066,0.09775778771394729,0.4875461254612546,0.9513951395139514,5,10.6,16,2,0.3018867924528302,0.0,"{""12"": 1, ""14"": 1, ""16"": 1, ""2"": 1, ""9"": 1}",19.565217391304344,0.17813765182186234,1.0,0.014486728719094148,0.24140096563371563,0.14012738853503184,0.24444444444444444
daytrader,3,seed3_solution067,0.08764486543620052,0.48108856088560886,0.9271111111111111,5,10.6,16,2,0.3018867924528302,0.0,"{""10"": 1, ""12"": 1, ""13"": 1, ""16"": 1, ""2"": 1}",19.565217391304344,0.17959183673469387,1.0,0.017146304247542665,0.24457400795961007,0.14193548387096774,0.24444444444444444
daytrader,3,seed3_solution068,0.09726302406012996,0.4764760147601476,0.9101321585903084,5,10.6,13,4,0.24528301886792453,0.0,"{""11"": 1, ""12"": 1, ""13"": 2, ""4"": 1}",19.565217391304344,0.1511879049676026,1.0,-0.010109412945271134,0.2297547692513133,0.12367491166077739,0.19444444444444445
daytrader,3,seed3_solution069,0.08835036372734589,0.47601476014760147,0.9084507042253521,5,10.6,15,3,0.2830188679245283,0.0,"{""10"": 1, ""12"": 1, ""13"": 1, ""15"": 1, ""3"": 1}",21.739130434782606,0.16771488469601678,1.0,0.0060321301777298214,0.22911366003766626,0.13468013468013468,0.2222222222222222
daytrader,3,seed3_solution070,0.0805805212687737,0.4672509225092251,0.8770562770562771,4,13.25,14,13,0.2641509433962264,0.0,"{""13"": 3, ""14"": 1}",15.217391304347828,0.14653465346534653,1.0,-0.02596002694812485,0.17319884308128644,0.11384615384615385,0.20555555555555555
daytrader,3,seed3_solution071,0.08186663018613598,0.4566420664206642,0.8404074702886248,4,13.25,16,11,0.3018867924528302,0.0,"{""11"": 1, ""12"": 1, ""14"": 1, ""16"": 1}",15.217391304347828,0.140625,1.0,-0.034647518156500856,0.14046015845438053,0.10843373493975904,0.2
