subject,seed,method,reference_status,reference_path,reference_source,reference_coverage,evaluation_policy,mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference,reference_coverage_ratio
daytrader,12,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,28.260869565217394239,0.17222222222222222099,0.17222222222222222099,0.17222222222222222099,0.047848265627898338426,0.42109018022312538765,1
daytrader,12,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.14423076923076921796,0.16666666666666665741,0.15463917525773193673,0.016964487672472286506,0.38519582098138177573,1
daytrader,13,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.16203703703703703498,0.19444444444444444753,0.1767676767676767402,0.039963413174676436224,0.39837909539312876817,1
daytrader,13,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.16113744075829383728,0.18888888888888888395,0.17391304347826086474,0.03833738802777644783,0.38966534955958070929,1
daytrader,13,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.15346534653465346287,0.17222222222222222099,0.16230366492146600099,0.028028813514490508868,0.39826158807311007326,1
daytrader,14,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.15525114155251140691,0.18888888888888888395,0.17042606516290725871,0.031559592510966440193,0.36081858099197583467,1
daytrader,14,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.17050691244239632449,0.20555555555555554692,0.18639798488664988119,0.050862999151288203203,0.40582098142611822134,1
daytrader,14,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.16591928251121076943,0.20555555555555554692,0.18362282878411911868,0.045662177352469399128,0.39388345884337533365,1
daytrader,15,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,21.739130434782605761,0.12334801762114537549,0.15555555555555555802,0.13759213759213756445,-0.0095006324014977328041,0.33737848376464046884,1
daytrader,15,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.17171717171717171269,0.18888888888888888395,0.17989417989417988419,0.049875001112089749344,0.43925501942389383325,1
daytrader,15,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.16666666666666665741,0.19444444444444444753,0.17948717948717948789,0.045169113507427124943,0.42843628629625896131,1
daytrader,16,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,19.565217391304344119,0.13615023474178403196,0.1611111111111111216,0.14758269720101779843,0.006978234962592008532,0.35666857014855973818,1
daytrader,16,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,19.565217391304344119,0.14285714285714284921,0.14999999999999999445,0.14634146341463413754,0.014467285136294898845,0.34061579638445915741,1
daytrader,16,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.17156862745098039325,0.19444444444444444753,0.18229166666666668517,0.050514359946632961251,0.42379714310882843353,1
daytrader,17,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.16915422885572140022,0.18888888888888888395,0.17847769028871390828,0.047152596441463523469,0.39206890366757563005,1
daytrader,17,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,30.434782608695655881,0.1809954751131221673,0.22222222222222220989,0.19950124688279299856,0.064860111031715489416,0.41830720706179547186,1
daytrader,17,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.16972477064220184428,0.20555555555555554692,0.18592964824120600253,0.049986807500148937311,0.40346362368593435832,1
daytrader,18,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.1712962962962963076,0.20555555555555554692,0.1868686868686868785,0.051743003197073048072,0.41585774724674950953,1
daytrader,18,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.17676767676767676796,0.19444444444444444753,0.18518518518518520266,0.056004839814592394243,0.43717729518034437186,1
