subject,seed,partition,evaluation_graph,f_semantic
xerces,1,stage3b_selected,stage3b,0.38751061880264836557
xerces,2,stage3a_selected,stage3a,0.38036739325010182622
xerces,2,stage3a_selected,stage3b,0.38391055598161893947
xerces,2,stage3b_selected,stage3a,0.38080597093642998274
xerces,2,stage3b_selected,stage3b,0.38445925714281514729
xerces,3,stage3a_selected,stage3a,0.3839798991466711886
xerces,3,stage3a_selected,stage3b,0.38873194738704031082
xerces,3,stage3b_selected,stage3a,0.38251335202392222623
xerces,3,stage3b_selected,stage3b,0.3875944403566805585
xerces,4,stage3a_selected,stage3a,0.38244998591696066637
xerces,4,stage3a_selected,stage3b,0.38788514202911050788
xerces,4,stage3b_selected,stage3a,0.38267954266530357366
xerces,4,stage3b_selected,stage3b,0.38726933998467683029
xerces,5,stage3a_selected,stage3a,0.38208667370910365246
xerces,5,stage3a_selected,stage3b,0.38683767704492766359
xerces,5,stage3b_selected,stage3a,0.38267751767415059128
xerces,5,stage3b_selected,stage3b,0.38740546571461109693
xerces,6,stage3a_selected,stage3a,0.38246291397637521836
xerces,6,stage3a_selected,stage3b,0.38653116374037033154
xerces,6,stage3b_selected,stage3a,0.38343837736274732908
xerces,6,stage3b_selected,stage3b,0.38822607644591788922
xerces,7,stage3a_selected,stage3a,0.3801027133979906214
xerces,7,stage3a_selected,stage3b,0.38483979808975687931
xerces,7,stage3b_selected,stage3a,0.38006273414768176888
xerces,7,stage3b_selected,stage3b,0.38424145078674076803
xerces,8,stage3a_selected,stage3a,0.3801027133979906214
xerces,8,stage3a_selected,stage3b,0.38483979808975687931
xerces,8,stage3b_selected,stage3a,0.38191599886389704377
xerces,8,stage3b_selected,stage3b,0.3861278771163607626
xerces,9,stage3a_selected,stage3a,0.38286370802897540244
xerces,9,stage3a_selected,stage3b,0.38800994498144647515
xerces,9,stage3b_selected,stage3a,0.38447486111901796324
xerces,9,stage3b_selected,stage3b,0.38708202181436035527
xerces,10,stage3a_selected,stage3a,0.38253369330165509776
xerces,10,stage3a_selected,stage3b,0.38724960941420849547
xerces,10,stage3b_selected,stage3a,0.38253369330165509776
xerces,10,stage3b_selected,stage3b,0.38724960941420849547
xerces,11,stage3a_selected,stage3a,0.38307445711251519871
xerces,11,stage3a_selected,stage3b,0.38865224573923295992
xerces,11,stage3b_selected,stage3a,0.3839798991466711886
xerces,11,stage3b_selected,stage3b,0.38873194738704031082
xerces,12,stage3a_selected,stage3a,0.3839798991466711886
xerces,12,stage3a_selected,stage3b,0.38873194738704031082
xerces,12,stage3b_selected,stage3a,0.38530965873029243696
xerces,12,stage3b_selected,stage3b,0.38916781974038427983
xerces,13,stage3a_selected,stage3a,0.3839798991466711886
xerces,13,stage3a_selected,stage3b,0.38873194738704031082
xerces,13,stage3b_selected,stage3a,0.3839798991466711886
xerces,13,stage3b_selected,stage3b,0.38873194738704031082
xerces,14,stage3a_selected,stage3a,0.3801027133979906214
xerces,14,stage3a_selected,stage3b,0.38429275957241437744
xerces,14,stage3b_selected,stage3a,0.38136454957561349843
xerces,14,stage3b_selected,stage3b,0.38600427115074054107
xerces,15,stage3a_selected,stage3a,0.3839798991466711886
xerces,15,stage3a_selected,stage3b,0.38873194738704031082
xerces,15,stage3b_selected,stage3a,0.3868700031237735093
xerces,15,stage3b_selected,stage3b,0.39320302008217400402
xerces,16,stage3a_selected,stage3a,0.38208867748169339507
xerces,16,stage3a_selected,stage3b,0.38688829539739977292
xerces,16,stage3b_selected,stage3a,0.3821977031812144876
xerces,16,stage3b_selected,stage3b,0.38699130386354529954
xerces,17,stage3a_selected,stage3a,0.38283370111090730958
xerces,17,stage3a_selected,stage3b,0.38769483368770107923
xerces,17,stage3b_selected,stage3a,0.3839798991466711886
xerces,17,stage3b_selected,stage3b,0.38873194738704031082
xerces,18,stage3a_selected,stage3a,0.38397464076002918443
xerces,18,stage3a_selected,stage3b,0.3899447253898645771
xerces,18,stage3b_selected,stage3a,0.38178315716675226277
xerces,18,stage3b_selected,stage3b,0.38627660470144475902
xerces,19,stage3a_selected,stage3a,0.38269572992198441774
xerces,19,stage3a_selected,stage3b,0.38743539623369405156
xerces,19,stage3b_selected,stage3a,0.38062198049542483869
xerces,19,stage3b_selected,stage3b,0.38528412233155417965
xerces,20,stage3a_selected,stage3a,0.39362104698160516048
xerces,20,stage3a_selected,stage3b,0.39916955099002704443
xerces,20,stage3b_selected,stage3a,0.38278559191056371613
xerces,20,stage3b_selected,stage3b,0.38583617237821676849
xerces,21,stage3a_selected,stage3a,0.3891218500753202969
xerces,21,stage3a_selected,stage3b,0.39314284447133318601
xerces,21,stage3b_selected,stage3a,0.3844246015059926691
xerces,21,stage3b_selected,stage3b,0.38821765888878678741
xerces,22,stage3a_selected,stage3a,0.37999959760293788857
xerces,22,stage3a_selected,stage3b,0.38689140997178039783
xerces,22,stage3b_selected,stage3a,0.38162182097721231155
xerces,22,stage3b_selected,stage3b,0.38699671449371630949
xerces,23,stage3a_selected,stage3a,0.38226861864497041488
xerces,23,stage3a_selected,stage3b,0.38716071304265275987
xerces,23,stage3b_selected,stage3a,0.3829943019411966576
xerces,23,stage3b_selected,stage3b,0.38697156881210825752
xerces,24,stage3a_selected,stage3a,0.38206401077088503193
xerces,24,stage3a_selected,stage3b,0.38692913788909810702
xerces,24,stage3b_selected,stage3a,0.38154758975990599179
xerces,24,stage3b_selected,stage3b,0.38632029909276310864
xerces,25,stage3a_selected,stage3a,0.38207701695576734569
xerces,25,stage3a_selected,stage3b,0.3857879551290717135
xerces,25,stage3b_selected,stage3a,0.3839798991466711886
xerces,25,stage3b_selected,stage3b,0.38873194738704031082
xerces,26,stage3a_selected,stage3a,0.3803591870127731589
xerces,26,stage3a_selected,stage3b,0.38658410685214894542
xerces,26,stage3b_selected,stage3a,0.38158044996490525502
xerces,26,stage3b_selected,stage3b,0.38721113787416883145
xerces,27,stage3a_selected,stage3a,0.3839798991466711886
xerces,27,stage3a_selected,stage3b,0.38873194738704031082
xerces,27,stage3b_selected,stage3a,0.38264308208432928904
xerces,27,stage3b_selected,stage3b,0.38744239582804995692
xerces,28,stage3a_selected,stage3a,0.38140158947494207098
xerces,28,stage3a_selected,stage3b,0.38700182860987097921
xerces,28,stage3b_selected,stage3a,0.3828915254020931469
xerces,28,stage3b_selected,stage3b,0.38657629115931035901
xerces,29,stage3a_selected,stage3a,0.3839798991466711886
xerces,29,stage3a_selected,stage3b,0.38873194738704031082
xerces,29,stage3b_selected,stage3a,0.38264603770448712972
xerces,29,stage3b_selected,stage3b,0.38763324490143935552
