subject,class_id,stage3a_source_path,stage3a_text_hash,stage3b_declaration_hash,exact_match
daytrader,com.ibm.websphere.samples.daytrader.util.Log,data/semantic_inputs/daytrader_class_declarations.csv,5c88d85e0f49968d803f52175b628c4d465c7d7348b050bedb8c66252dbf3aba,5c88d85e0f49968d803f52175b628c4d465c7d7348b050bedb8c66252dbf3aba,true
daytrader,com.ibm.websphere.samples.daytrader.util.MDBStats,data/semantic_inputs/daytrader_class_declarations.csv,3cf888238d2f47f057ddc8a187c5a4e3a5b4d5615adb164ce99408b0a9f50ed5,3cf888238d2f47f057ddc8a187c5a4e3a5b4d5615adb164ce99408b0a9f50ed5,true
daytrader,com.ibm.websphere.samples.daytrader.util.TimerStat,data/semantic_inputs/daytrader_class_declarations.csv,69d7f98dab546a408a5670d85feec4ea45c3b2c941cd2e197665e4370bc7ab9f,69d7f98dab546a408a5670d85feec4ea45c3b2c941cd2e197665e4370bc7ab9f,true
daytrader,com.ibm.websphere.samples.daytrader.util.TradeConfig,data/semantic_inputs/daytrader_class_declarations.csv,e94f37be483cca3b9c8b0bc9d59407688f9d35c2f13aaaeb08c3245d8ba18b52,e94f37be483cca3b9c8b0bc9d59407688f9d35c2f13aaaeb08c3245d8ba18b52,true
daytrader,com.ibm.websphere.samples.daytrader.util.WebSocketJMSMessage,data/semantic_inputs/daytrader_class_declarations.csv,e95b8733d3181d904136f23d47d135939f19ba98573cc973c9f5610fef33a7da,e95b8733d3181d904136f23d47d135939f19ba98573cc973c9f5610fef33a7da,true
daytrader,com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter,data/semantic_inputs/daytrader_class_declarations.csv,92772fd1a525dacc0e70f4670f2949914b10b431daada536adc8c55779ef3351,92772fd1a525dacc0e70f4670f2949914b10b431daada536adc8c55779ef3351,true
daytrader,com.ibm.websphere.samples.daytrader.web.TradeAppServlet,data/semantic_inputs/daytrader_class_declarations.csv,3d2ab00130a8f8132f5a696c290b47eac5f6a24bcc94ba431756875254fb2dfc,3d2ab00130a8f8132f5a696c290b47eac5f6a24bcc94ba431756875254fb2dfc,true
daytrader,com.ibm.websphere.samples.daytrader.web.TradeServletAction,data/semantic_inputs/daytrader_class_declarations.csv,bb55e7f4a209cc8d7ab39fdf0df63b8c7a2bd45561128be5de602098b6fe37e8,bb55e7f4a209cc8d7ab39fdf0df63b8c7a2bd45561128be5de602098b6fe37e8,true
daytrader,com.ibm.websphere.samples.daytrader.web.TradeWebContextListener,data/semantic_inputs/daytrader_class_declarations.csv,54c23417abe0ec6d2f80bccd8b6382753c53345c2fcad75ef19fd3535ff56790,54c23417abe0ec6d2f80bccd8b6382753c53345c2fcad75ef19fd3535ff56790,true
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF,data/semantic_inputs/daytrader_class_declarations.csv,cfff56b2a6a4d45897abb39d483bd8221647b52684a93e655e5c2ed620df3c66,cfff56b2a6a4d45897abb39d483bd8221647b52684a93e655e5c2ed620df3c66,true
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.ExternalContextProducer,data/semantic_inputs/daytrader_class_declarations.csv,cf767647279cb1e18a1974b7e25b0ef85cdbe8365b813a1d15750008a1d91a08,cf767647279cb1e18a1974b7e25b0ef85cdbe8365b813a1d15750008a1d91a08,true
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.HoldingData,data/semantic_inputs/daytrader_class_declarations.csv,0466b8b5e7e9bbbaec557b72974530d8e3a29c86c3ec24b22f32d026cbd120d4,0466b8b5e7e9bbbaec557b72974530d8e3a29c86c3ec24b22f32d026cbd120d4,true
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.JSFLoginFilter,data/semantic_inputs/daytrader_class_declarations.csv,215ce11132c1dc52980218c193843844db4457e16138bb64e44a2650e009350b,215ce11132c1dc52980218c193843844db4457e16138bb64e44a2650e009350b,true
