subject,class_id,body_token_count,invoked_method_token_count,field_token_count,local_token_count,exception_token_count,string_token_count,operation_token_count,invoked_method_proportion,field_proportion,string_proportion,embedding_shift_cosine_distance,neighbour_retention,stage3b_degree,neighbour_change,incident_stage3b_edge_count,incident_structural_overlap_count,incident_structural_overlap_ratio
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.ActionDecoder,12,5,0,0,0,2,15,0.4166666666666667,0.0,0.16666666666666666,0.14378317232399995,0.6666666666666666,4,0.33333333333333337,4,1,0.25
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.ActionMessage,18,4,17,1,0,15,48,0.2222222222222222,0.9444444444444444,0.8333333333333334,0.348453303347,0.6666666666666666,3,0.33333333333333337,3,1,0.3333333333333333
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.ActionMessage$1,15,1,32,0,0,0,7,0.06666666666666667,2.1333333333333333,0.0,0.48171426762900005,0.6666666666666666,3,0.33333333333333337,3,0,0.0
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.JsonDecoder,12,7,0,0,0,2,15,0.5833333333333334,0.0,0.16666666666666666,0.14290132033199998,1.0,4,0.0,4,1,0.25
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.JsonEncoder,7,3,0,0,0,2,8,0.42857142857142855,0.0,0.2857142857142857,0.17278008657099997,1.0,3,0.0,3,1,0.3333333333333333
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.JsonMessage,5,4,4,0,0,0,1,0.8,0.8,0.0,0.29780818144200005,0.6666666666666666,4,0.33333333333333337,4,2,0.5
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.MarketSummaryWebSocket,76,36,42,20,0,60,176,0.47368421052631576,0.5526315789473685,0.7894736842105263,0.145524774947,1.0,5,0.0,5,2,0.4
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.RecentStockChangeList,24,11,14,1,0,11,58,0.4583333333333333,0.5833333333333334,0.4583333333333333,0.16362643916300001,0.6666666666666666,3,0.33333333333333337,3,1,0.3333333333333333
xerces,org.apache.xerces.dom.ASDOMImplementationImpl,17,9,2,0,4,3,10,0.5294117647058824,0.11764705882352941,0.17647058823529413,0.16396788971700005,1.0,4,0.0,4,3,0.75
xerces,org.apache.xerces.dom.ASModelImpl,66,72,18,1,124,93,104,1.0909090909090908,0.2727272727272727,1.4090909090909092,0.10418255872600002,0.6666666666666666,4,0.33333333333333337,4,2,0.5
xerces,org.apache.xerces.dom.AttrImpl,118,152,166,36,40,21,522,1.2881355932203389,1.4067796610169492,0.17796610169491525,0.154868161256,1.0,4,0.0,4,2,0.5
xerces,org.apache.xerces.dom.AttrNSImpl,42,27,58,8,28,26,155,0.6428571428571429,1.380952380952381,0.6190476190476191,0.18870356620899997,0.6666666666666666,4,0.33333333333333337,4,1,0.25
