subject,seed,stage3a_projected_hv,stage3b_projected_hv,delta_hv_stage3b_minus_stage3a,stage3a_selected_f_semantic_on_stage3a,stage3a_selected_f_semantic_on_stage3b,stage3b_selected_f_semantic_on_stage3a,stage3b_selected_f_semantic_on_stage3b,delta_selected_f_semantic_stage3b_minus_stage3a_on_stage3b,delta_selected_f_semantic_stage3b_minus_stage3a_on_stage3a,stage3a_selected_solution_id,stage3b_selected_solution_id,stage3a_selected_ari_vs_leiden,stage3a_selected_nmi_vs_leiden,stage3a_selected_equals_leiden,stage3b_selected_ari_vs_leiden,stage3b_selected_nmi_vs_leiden,stage3b_selected_equals_leiden,stage3a_vs_stage3b_selected_ari,stage3a_vs_stage3b_selected_nmi,stage3a_vs_stage3b_selected_partition_equal,stage3a_front_size,stage3b_front_size,stage3a_projected_front_size,stage3b_projected_front_size,reference_status
jpetstore,26,0.38568800590255758465,0.3933806913348737444,0.0076926854323161597549,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed26_solution000,seed26_solution000,1,1,True,1,1,True,1,1,True,100,100,40,65,unavailable
jpetstore,27,0.36536754829622047902,0.37962107349570262116,0.014253525199482142138,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed27_solution000,seed27_solution000,1,1,True,1,1,True,1,1,True,100,100,46,46,unavailable
jpetstore,28,0.37898613482485715709,0.37448252130624876122,-0.0045036135186083958715,0.60061837755350833135,0.51211372451079617552,0.598785638479620963,0.51226006853751848702,0.00014634402672231150433,-0.0018327390738873683418,seed28_solution001,seed28_solution000,0.8994095779575770333,0.91871780558966453789,False,1,1,True,0.8994095779575770333,0.91871780558966453789,False,100,100,53,48,unavailable
jpetstore,29,0.37496183612602279611,0.39404277760251432694,0.019080941476491530828,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed29_solution000,seed29_solution000,1,1,True,1,1,True,1,1,True,100,100,46,55,unavailable
daytrader,0,0.20543425788623889683,0.20617415501213046114,0.00073989712589156431122,0.55981789333741138748,0.58303362701302807736,0.69708285137215697524,0.73455240274065902728,0.15151877572763094992,0.13726495803474558777,seed0_solution028,seed0_solution041,0.88462402437480347484,0.93120533993369769554,False,0.60966549181568530091,0.76469332412221002748,False,0.58848023958140549539,0.75644916938190154276,False,100,100,70,64,available
daytrader,1,0.17919137387029143715,0.15009411664267879871,-0.029097257227612638442,0.59388471013446619828,0.60284191672261089323,0.59886819219636244771,0.5960104178630809546,-0.0068314988595299386276,0.0049834820618962494265,seed1_solution027,seed1_solution032,0.90485109247759154538,0.94685033946300700691,False,0.91334241693742790336,0.91978768200926486198,False,0.88701067231714003647,0.90004103205868857263,False,100,100,63,77,available
daytrader,2,0.15756614393476214842,0.16891176399327059721,0.011345620058508448791,0.56454601982754515355,0.56275487044467698006,0.60527604710278304356,0.58347035131700097921,0.020715480872323999151,0.040730027275237890017,seed2_solution030,seed2_solution034,0.9661642596692544549,0.98335307398387916678,False,0.72859653952857961201,0.82236627580978061136,False,0.76367738762826109511,0.83548845221285417129,False,100,100,73,76,available
daytrader,3,0.1640290184683548258,0.2239100723534578341,0.059881053885103008305,0.65748645525760129882,0.64431370652191299886,0.50899937720381882578,0.54359574924179676625,-0.10071795728011623261,-0.14848707805378247304,seed3_solution042,seed3_solution043,0.56315173238763893693,0.67606723639649002333,False,0.051002546396336161105,0.30455096049170227168,False,0.034366406447524901202,0.18266724612711832121,False,100,100,67,74,available
daytrader,4,0.18168190411138115947,0.24492190270348487835,0.063239998592103718877,0.62924143659677678198,0.67427647737429285968,0.63921120052368762821,0.62294854996394599667,-0.051327927410346863013,0.0099697639269108462301,seed4_solution040,seed4_solution043,0.12375626199919292914,0.52755409519772233917,False,0.83115077685346505643,0.89565710765019379558,False,0.086849909990027673867,0.4900177014286355992,False,100,100,77,74,available
daytrader,5,0.14891094688838110716,0.18737266262143162376,0.038461715733050516608,0.56454601982754515355,0.56870880469639772947,0.57492732502834376085,0.58432734734644742325,0.015618542650049693776,0.010381305200798607302,seed5_solution034,seed5_solution034,0.96341737358225476573,0.97672939653336998678,False,0.91604033475935364716,0.94865574883299286224,False,0.88046748388898521398,0.92476929448630773578,False,100,100,70,67,available
