source,target,dependency_type,weight,evidence_kind,evidence_location
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: java.lang.String getAsHint()> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: void setAsHint(java.lang.String)> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASNamedObjectMap getElementDeclarations()> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASNamedObjectMap getAttributeDeclarations()> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASNamedObjectMap getNotationDeclarations()> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASNamedObjectMap getEntityDeclarations()> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASNamedObjectMap getContentModelDeclarations()> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASObjectList getASModels()> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: boolean validate()> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: void importASObject(org.apache.xerces.dom3.as.ASObject)> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: void insertASObject(org.apache.xerces.dom3.as.ASObject)> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASElementDeclaration createASElementDeclaration(java.lang.String,java.lang.String)> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASAttributeDeclaration createASAttributeDeclaration(java.lang.String,java.lang.String)> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASNotationDeclaration createASNotationDeclaration(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASEntityDeclaration createASEntityDeclaration(java.lang.String)> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASContentModel createASContentModel(int,int,short)> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.AttrImpl,org.apache.xerces.dom.NodeImpl,type,1,extends_type_reference,org.apache.xerces.dom.AttrImpl
org.apache.xerces.dom.AttrImpl,org.apache.xerces.dom.CoreDocumentImpl,type,1,method_parameter_type_reference,"<org.apache.xerces.dom.AttrImpl: void <init>(org.apache.xerces.dom.CoreDocumentImpl,java.lang.String)>"
org.apache.xerces.dom.AttrImpl,org.apache.xerces.dom.CoreDocumentImpl,type,1,method_parameter_type_reference,<org.apache.xerces.dom.AttrImpl: void setOwnerDocument(org.apache.xerces.dom.CoreDocumentImpl)>
org.apache.xerces.dom.AttrImpl,org.apache.xerces.dom.ChildNode,type,1,method_return_type_reference,<org.apache.xerces.dom.AttrImpl: org.apache.xerces.dom.ChildNode lastChild()>
org.apache.xerces.dom.AttrImpl,org.apache.xerces.dom.ChildNode,type,1,method_parameter_type_reference,<org.apache.xerces.dom.AttrImpl: void lastChild(org.apache.xerces.dom.ChildNode)>
org.apache.xerces.dom.AttrImpl,org.apache.xerces.dom.ChildNode,type,1,method_parameter_type_reference,<org.apache.xerces.dom.AttrImpl: void checkNormalizationAfterInsert(org.apache.xerces.dom.ChildNode)>
org.apache.xerces.dom.AttrImpl,org.apache.xerces.dom.ChildNode,type,1,method_parameter_type_reference,<org.apache.xerces.dom.AttrImpl: void checkNormalizationAfterRemove(org.apache.xerces.dom.ChildNode)>
org.apache.xerces.dom.AttrImpl,org.apache.xerces.dom.NodeImpl,call,2,method_call,"<org.apache.xerces.dom.AttrImpl: void <init>(org.apache.xerces.dom.CoreDocumentImpl,java.lang.String)> :: specialinvoke r0.<org.apache.xerces.dom.NodeImpl: void <init>(org.apache.xerces.dom.CoreDocumentImpl)>(r1)"
org.apache.xerces.dom.AttrImpl,org.apache.xerces.dom.NodeImpl,call,2,method_call,"<org.apache.xerces.dom.AttrImpl: void <init>(org.apache.xerces.dom.CoreDocumentImpl,java.lang.String)> :: virtualinvoke r0.<org.apache.xerces.dom.AttrImpl: void isSpecified(boolean)>(1)"
