subject,seed,front_size,leiden_in_retained_front,leiden_dominated,leiden_dominator_solution_ids,selected_solution_id,selected_by_modularity_max,selected_equals_leiden,another_retained_higher_modularity,population_size_limit_plausible,classification,classification_definition
xerces,12,100,False,True,seed12_solution018,seed12_solution018,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,13,100,False,True,seed13_solution019,seed13_solution019,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,14,100,True,False,,seed14_solution015,True,True,False,True,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,15,100,False,False,,seed15_solution018,False,False,False,True,C,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,16,100,False,True,seed16_solution020,seed16_solution020,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,17,100,False,True,seed17_solution017,seed17_solution017,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,18,100,False,False,,seed18_solution019,False,False,False,True,C,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,19,100,True,False,,seed19_solution011,True,True,False,True,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,20,100,False,False,,seed20_solution019,False,False,False,True,C,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,21,100,True,False,,seed21_solution019,True,True,False,True,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,22,100,True,False,,seed22_solution011,True,True,False,True,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,23,100,False,True,seed23_solution012,seed23_solution012,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,24,100,False,True,seed24_solution010,seed24_solution010,False,False,True,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,25,100,True,False,,seed25_solution019,True,True,False,True,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,26,100,True,False,,seed26_solution019,True,True,False,True,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,27,100,True,False,,seed27_solution019,True,True,False,True,A,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,28,100,False,False,,seed28_solution020,False,False,False,True,C,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
xerces,29,100,False,True,seed29_solution015,seed29_solution015,False,False,False,True,B,A=present+selected; B=absent+dominated; C=absent+not dominated; D=present+not selected
