class_id,input_hash,embedding_sha256
org.jfree.chart.annotations.XYAnnotationBoundsInfo,a19594aaa6c4694fa674325b9fbd0d6b04ed7d2775e491a7210985ec6e616d4b,e58c7003f5ca663ad5c9b22de3b3ac3878f66c10a0c6324ed2a5eb703a682a6e
org.jfree.chart.annotations.XYBoxAnnotation,2e00f02f87da886f9e06c4c60af2c4e5c5f70df0438b1d0cbc0af5c6c4e6e9f4,990d04195d031646aba69771394bf8d9410dd80bd8881b138fb5ce04450ccdb7
org.jfree.chart.annotations.XYDataImageAnnotation,299fcbf9e029709c2763a28cf08750fa434c3121203fe51de0c8bf3df2500dae,944c4566e20a7a51b6cf7798d0c4f3b2d361ca7bdb83a198f0a8766c114e9b1a
org.jfree.chart.annotations.XYDrawableAnnotation,405dceb818ee2c6639121835c409390a69008aee6a1f21ce584565fcb078e06b,da7e4252a31a84406613590e864735db06cf31540c3983e712fd0c6ce9c9b9b6
org.jfree.chart.annotations.XYImageAnnotation,a6f5cb7db9ea1c363748996fcf57b35a27c86b3a122674708d4b74e325a4eb83,514aee8ced67ef37111f8828ba54445e9e0ed251262dab32ca7fb7ee45a0b454
org.jfree.chart.annotations.XYLineAnnotation,24ad3e486eee054def042d02fb0a089ee286474a369cd4a624ac55e92da37a2e,cd70aab7b125ba4987e6b483213c66c8c5e45faaef6fbed97e499ac86aaea2c8
org.jfree.chart.annotations.XYPointerAnnotation,1421aac5765caf96f6767fc640894651bdc41dd8ad14d5b0a48bed2f7b587c92,837c4f7facef23577d9caa6d35df8e72fa95dddc36dc9d22231be4d1dbd613e1
org.jfree.chart.annotations.XYPolygonAnnotation,c261a182a6022295704c12dd07f24b0224b7df7e1af06144649e47e199d019e0,6d23627ffef15ba4f315e758bd1d627c34bc9b5b1e1cc81b2e499cacd3a34e4a
org.jfree.chart.annotations.XYShapeAnnotation,fd2f0c4bb8e16135f52a4cb94f39b1454664b529434aec9a78d6f47acb5531c3,cc31b9265bfefbbfddf5bb5bec8ebd23fe8449e37121d39ccb38790cea75153c
org.jfree.chart.annotations.XYTextAnnotation,3b4f8ca6ca7ebef4848e293b05e768e380a4f791476baddddaadab975bfd31cb,264ce3b682b370a2d761ec8acc04170ad7454d925a028fe2808c81e255743118
org.jfree.chart.annotations.XYTitleAnnotation,8ee796a6bd3d5507b538b37e401553fac73e411146bf223b37bffbb3d8313276,fa512e18623f17092dd763424b9a44ba849124744968f62df27d7a3c43c9a7ef
org.jfree.chart.axis.Axis,667d45c43bb3bf8b160f7f5fa64b7f10096ac1b55dea2c5f9dd141090019650f,1886f7f163228d23f7c1fead4fc0203b273010187268ff3177d7823f8a4ae132
org.jfree.chart.axis.AxisCollection,a771ad56140861e0d4ca87d3daf0e772f1bddcea0d2e699a0b677ce9ac0c3c91,36f009b910b3d8fefa38897a8432301935b874fb133f25945b5ca3aa6438d6b8
org.jfree.chart.axis.AxisLabelLocation,bc8385a04c26c9b8b95fc5e72f17f7326196ac84aa83b804638520561667997e,7ad2d7e4c1a35aabf6a3d7ffaa3cd45d315caa3dfe78ff9b9cb164d509adbdc5
org.jfree.chart.axis.AxisLocation,973335aeed9ab8f093774764c715d2d02d76f489c942f377a4c740be1b1f8c58,3e2a9727315d5f3ed2d13c5acdabff3f1f055101af99ccd6b4a278f6af11ef7d
org.jfree.chart.axis.AxisSpace,c95bab88904647bb2dcbb4b0f9bbcfa145b69ca11b7f99c89fd7cd4e4c18ee75,ffe9c4fe93381e27119f25a4a83ea9aa38180023136148a0be2249624395c471
org.jfree.chart.axis.AxisState,fd2085460ef11ea3a4c71b32d9cd95feeccccac56b5ad2a1ee0f7c219862b87e,91ed9bc9fc97d4b386d09d48b234fc3589c02d1de62317d463b5382e2540d274
org.jfree.chart.axis.CategoryAnchor,29959dd4a6db6dd9834aaac0ebcefba7063f3047e8f97e34443de96a487e867f,21e7b1f2d54b56837a368678dc750e8b020cd624473ac99939470a7321ca3500
org.jfree.chart.axis.CategoryAxis,c2034f105279afd270384e4cd9e81b27f1c3dd25adad0a63535244f16674977d,709b69a2041d3b93fa458c8dff2f00efaa1e2450285a38fcda04f1ede71d7cbf
org.jfree.chart.axis.CategoryAxis3D,0afd95884d4437bc4c7d33a377203c7b395d9dd335fd9bb282d8faee8c40344d,09a7a068c62f092013b39cd4322971461c024600801dc1f2729038fa82827fd9
org.jfree.chart.axis.CategoryLabelPosition,0c5c3635522b050a1869f8d014d6158ddbd0f2d2fdb080a7e8d9609b50a8517a,9127fc26df912a205022cdf0ae34a3af3fe26a7a2cbccd246c5eec034d11024e
org.jfree.chart.axis.CategoryLabelPositions,0fc31bfa1605cf3971fb51709cf7ecb17721bbf35ae707fcded1e3e50a632fac,2177f9ea3544704d18e9bf4b73d72f4ae3ed716451ec68dddcde6d176de3ceda
org.jfree.chart.axis.CategoryLabelWidthType,b981f69fd4acbe4f21cd83392455f6f0b40849773be29f91cb4bb4a2c03fd31f,e2959dc3191a1eaf95631e267996e9146a4de29cc57b35d51b46aeee32610a84
org.jfree.chart.axis.CategoryTick,ecc29a3d8babe67698c25df05382ff301dd10c0e1d9d27655b9b2b667197b390,6550cd21fa1aaf05fa555da8d5d726c5ffc21d00cb86a3a52c8bbdad2a2bd847
org.jfree.chart.axis.ColorBar,f664cbe14ad3945821815b7bc46c22b5623edf712b846b97142412f1a6f75b1c,a5b954939f8c3611069437270457733910ce31572b57d7e3704a91ce098d2c30
org.jfree.chart.axis.CompassFormat,a90bf255a68ccdfa0eae71529fdc4f68f45a74b55dc9aa2b889cbdc8d19882d2,b82cf6ccd8fc88991552afc38f51a1c43d2671e26a3993c9c1a4d3efc4e7f50a
org.jfree.chart.axis.CyclicNumberAxis,5b32f03e03a1879f4f113e78eaa898f85d2b36ef5bcce73c39b150756ae04348,5a4a29f7c5d21cbf254ae69150e54cdc884d3e7eb43e3fb7b67144a456f57499
org.jfree.chart.axis.CyclicNumberAxis$CycleBoundTick,94a0bbf6d46d072327aee4b36d02f79baa2e0d44544eb24a724aa90728fbd019,b18f3412315ee31eaf1191f4c8be01149954b50e4b1e1b2ceed1213d0944baab
org.jfree.chart.axis.DateAxis,e081156ef022600f0420d7204a4b7fe336fb858b25ed53c7cbb7defaf7c8927e,8518b2ac6298f56b88b12533a6d9058e15c2443e5f10a3024b4cd267f522d8f9
org.jfree.chart.axis.DateAxis$1,4051d455b5a070bfc65a1e19eab75e271315c817dd2cd365f252f88e7392be51,6e64cd305125123d8afa2a8c9df6c164b9b6096aabeca00ef77f18241b3eeb77
org.jfree.chart.axis.DateAxis$DefaultTimeline,7f1e221962c450d3f274fe4e71b21ec07270054b7e83a1911c3c5380d2e097e7,321ef3101041a3afabf2f9dce9fd0fbe477ad4c66d8d0b5ff2154429e7a30ed9
org.jfree.chart.axis.DateTick,5aed3cc0fdf00bd43fc82cfdd7d16d38f89f3acef87ce9fc312731d88faa7d54,5372f263a97d7bf16746ea31a7ea1085376e19364e113ab2f66612f98e237093
org.jfree.chart.axis.DateTickMarkPosition,cb391b6fd020b4ecbd87425e1606702d149b80064d811fddde9010a776e193ad,86ddeb0331370e57d3385821ac6579976ebcab885596373991f77ac51c03b897
