stage,subject,profile,metric,reference_status,available_n,median,mean,iqr,median_delta_vs_leiden,mean_delta_vs_leiden,median_delta_vs_conservative,mean_delta_vs_conservative,mean_delta_vs_stage2_conservative,mean_delta_vs_stage3_conservative
stage2,daytrader,knee_native,mojofm_vs_reference,available,30,19.565217391304344119,20.724637681159425284,4.3478260869565197311,-4.3478260869565197311,-3.188405797101444783,-4.3478260869565197311,-2.8260869565217405786,-2.8260869565217383581,-3.4782608695652181829
stage2,daytrader,knee_native,pairwise_precision,available,30,0.13229646697388630638,0.13359019895349480422,0.026600624729163600823,-0.03519121775517759787,-0.033897485775569100031,-0.026944300819605498942,-0.021529762280683800019,-0.021529762280683699405,-0.026086592367357001182
stage2,daytrader,knee_native,pairwise_recall,available,30,0.19722222222222218768,0.21018518518518519711,0.098611111111111093841,0.0083333333333333002579,0.021296296296296299277,0.033333333333333298176,0.031481481481481402018,0.031481481481481402018,0.024629629629629598564
stage2,daytrader,knee_native,pairwise_f1,available,30,0.15750158931977109589,0.16082426048177758671,0.036140632984859900889,-0.020044102586233999985,-0.016721431424227498758,-0.0054735181166641003886,-0.0046233936350470001761,-0.0046233936350470001761,-0.0098750369478905995757
stage2,daytrader,knee_native,ari_vs_reference,available,30,0.002149394670804900126,0.0051780754315338996252,0.035340941261596099665,-0.043208582342307101654,-0.040179901581578102154,-0.03388639618540070092,-0.024425280924032500424,-0.024425280924032500424,-0.030916306598028398672
stage2,daytrader,knee_native,nmi_vs_reference,available,30,0.28279490669200491038,0.29052573090620381624,0.089932352470219995011,-0.13824217930605309235,-0.13051135509185418648,-0.08991258084545700191,-0.08555826060937160582,-0.08555826060937160582,-0.099483482111378904178
stage2,daytrader,knee_native,reference_coverage_ratio,available,30,1,1,0,0,0,0,0,0,0
stage2,jpetstore,budgeted_balance_0.050,mojofm_vs_reference,unavailable,0,,,,,,,,,
stage2,jpetstore,budgeted_balance_0.050,pairwise_precision,unavailable,0,,,,,,,,,
stage2,jpetstore,budgeted_balance_0.050,pairwise_recall,unavailable,0,,,,,,,,,
stage2,jpetstore,budgeted_balance_0.050,pairwise_f1,unavailable,0,,,,,,,,,
stage2,jpetstore,budgeted_balance_0.050,ari_vs_reference,unavailable,0,,,,,,,,,
stage2,jpetstore,budgeted_balance_0.050,nmi_vs_reference,unavailable,0,,,,,,,,,
stage2,jpetstore,budgeted_balance_0.050,reference_coverage_ratio,unavailable,0,,,,,,,,,
stage2,jpetstore,conservative,mojofm_vs_reference,unavailable,0,,,,,,,,,
stage2,jpetstore,conservative,pairwise_precision,unavailable,0,,,,,,,,,
stage2,jpetstore,conservative,pairwise_recall,unavailable,0,,,,,,,,,
stage2,jpetstore,conservative,pairwise_f1,unavailable,0,,,,,,,,,
stage2,jpetstore,conservative,ari_vs_reference,unavailable,0,,,,,,,,,
stage2,jpetstore,conservative,nmi_vs_reference,unavailable,0,,,,,,,,,
stage2,jpetstore,conservative,reference_coverage_ratio,unavailable,0,,,,,,,,,
stage2,jpetstore,extreme_balance,mojofm_vs_reference,unavailable,0,,,,,,,,,
stage2,jpetstore,extreme_balance,pairwise_precision,unavailable,0,,,,,,,,,
stage2,jpetstore,extreme_balance,pairwise_recall,unavailable,0,,,,,,,,,
stage2,jpetstore,extreme_balance,pairwise_f1,unavailable,0,,,,,,,,,
stage2,jpetstore,extreme_balance,ari_vs_reference,unavailable,0,,,,,,,,,
stage2,jpetstore,extreme_balance,nmi_vs_reference,unavailable,0,,,,,,,,,
stage2,jpetstore,extreme_balance,reference_coverage_ratio,unavailable,0,,,,,,,,,
stage2,jpetstore,knee_native,mojofm_vs_reference,unavailable,0,,,,,,,,,
stage2,jpetstore,knee_native,pairwise_precision,unavailable,0,,,,,,,,,
stage2,jpetstore,knee_native,pairwise_recall,unavailable,0,,,,,,,,,
stage2,jpetstore,knee_native,pairwise_f1,unavailable,0,,,,,,,,,
stage2,jpetstore,knee_native,ari_vs_reference,unavailable,0,,,,,,,,,
stage2,jpetstore,knee_native,nmi_vs_reference,unavailable,0,,,,,,,,,
stage2,jpetstore,knee_native,reference_coverage_ratio,unavailable,0,,,,,,,,,
stage2,xerces,budgeted_balance_0.050,mojofm_vs_reference,unavailable,0,,,,,,,,,
stage2,xerces,budgeted_balance_0.050,pairwise_precision,unavailable,0,,,,,,,,,
stage2,xerces,budgeted_balance_0.050,pairwise_recall,unavailable,0,,,,,,,,,
stage2,xerces,budgeted_balance_0.050,pairwise_f1,unavailable,0,,,,,,,,,
stage2,xerces,budgeted_balance_0.050,ari_vs_reference,unavailable,0,,,,,,,,,
stage2,xerces,budgeted_balance_0.050,nmi_vs_reference,unavailable,0,,,,,,,,,
stage2,xerces,budgeted_balance_0.050,reference_coverage_ratio,unavailable,0,,,,,,,,,
stage2,xerces,conservative,mojofm_vs_reference,unavailable,0,,,,,,,,,
stage2,xerces,conservative,pairwise_precision,unavailable,0,,,,,,,,,
stage2,xerces,conservative,pairwise_recall,unavailable,0,,,,,,,,,
stage2,xerces,conservative,pairwise_f1,unavailable,0,,,,,,,,,
stage2,xerces,conservative,ari_vs_reference,unavailable,0,,,,,,,,,
stage2,xerces,conservative,nmi_vs_reference,unavailable,0,,,,,,,,,
stage2,xerces,conservative,reference_coverage_ratio,unavailable,0,,,,,,,,,
stage2,xerces,extreme_balance,mojofm_vs_reference,unavailable,0,,,,,,,,,
stage2,xerces,extreme_balance,pairwise_precision,unavailable,0,,,,,,,,,
stage2,xerces,extreme_balance,pairwise_recall,unavailable,0,,,,,,,,,
stage2,xerces,extreme_balance,pairwise_f1,unavailable,0,,,,,,,,,
stage2,xerces,extreme_balance,ari_vs_reference,unavailable,0,,,,,,,,,
stage2,xerces,extreme_balance,nmi_vs_reference,unavailable,0,,,,,,,,,
stage2,xerces,extreme_balance,reference_coverage_ratio,unavailable,0,,,,,,,,,
stage2,xerces,knee_native,mojofm_vs_reference,unavailable,0,,,,,,,,,
stage2,xerces,knee_native,pairwise_precision,unavailable,0,,,,,,,,,
stage2,xerces,knee_native,pairwise_recall,unavailable,0,,,,,,,,,
stage2,xerces,knee_native,pairwise_f1,unavailable,0,,,,,,,,,
