subject,stage,seed,four_d_front_size,projected_3d_front_size,population_size_limit_plausible,leiden_in_four_d_front,leiden_dominated_in_four_d,leiden_four_d_dominator_solution_ids,leiden_in_projected_3d_front,leiden_dominated_in_projected_3d,leiden_projected_dominator_solution_ids,leiden_eligible_for_projected_selector,another_eligible_solution_higher_modularity,selected_solution_id,selected_equals_leiden,selected_weighted_modularity,four_d_classification,projected_selection_classification
daytrader,stage3b,10,100,67,True,False,False,,False,False,,False,False,seed10_solution032,False,0.32120075553845945,absent_not_dominated,absent_or_not_selected
daytrader,stage3b,11,100,67,True,False,False,,False,False,,False,False,seed11_solution030,False,0.31499094511240316,absent_not_dominated,absent_or_not_selected
daytrader,stage3b,12,100,76,True,False,False,,False,False,,False,False,seed12_solution031,False,0.30174849113574159,absent_not_dominated,absent_or_not_selected
daytrader,stage3b,13,100,68,True,False,False,,False,False,,False,False,seed13_solution032,False,0.30104969465285059,absent_not_dominated,absent_or_not_selected
daytrader,stage3b,14,100,77,True,False,True,seed14_solution029,False,True,seed14_solution026;seed14_solution029,False,False,seed14_solution029,False,0.32459676389891207,absent_dominated,absent_or_not_selected
daytrader,stage3b,15,100,67,True,False,False,,False,False,,False,False,seed15_solution029,False,0.32176264365272805,absent_not_dominated,absent_or_not_selected
daytrader,stage3b,16,100,65,True,False,True,seed16_solution036,False,True,seed16_solution036,False,False,seed16_solution036,False,0.32459676389891207,absent_dominated,absent_or_not_selected
daytrader,stage3b,17,100,74,True,False,False,,False,False,,False,False,seed17_solution027,False,0.32335618472651517,absent_not_dominated,absent_or_not_selected
daytrader,stage3b,18,100,62,True,False,False,,False,False,,False,False,seed18_solution032,False,0.31295210611238955,absent_not_dominated,absent_or_not_selected
daytrader,stage3b,19,100,67,True,False,False,,False,False,,False,False,seed19_solution031,False,0.31246978867390146,absent_not_dominated,absent_or_not_selected
daytrader,stage3b,20,100,59,True,False,False,,False,False,,False,False,seed20_solution040,False,0.14590549301480099,absent_not_dominated,absent_or_not_selected
daytrader,stage3b,21,100,70,True,False,False,,False,False,,False,False,seed21_solution034,False,0.29887607484239048,absent_not_dominated,absent_or_not_selected
daytrader,stage3b,22,100,71,True,False,False,,False,False,,False,False,seed22_solution034,False,0.14013885295679523,absent_not_dominated,absent_or_not_selected
daytrader,stage3b,23,100,64,True,False,False,,False,False,,False,False,seed23_solution029,False,0.30988757131575007,absent_not_dominated,absent_or_not_selected
daytrader,stage3b,24,100,73,True,False,False,,False,False,,False,False,seed24_solution038,False,0.29950519379501911,absent_not_dominated,absent_or_not_selected
daytrader,stage3b,25,100,66,True,False,True,seed25_solution026,False,True,seed25_solution026,False,False,seed25_solution026,False,0.32459676389891207,absent_dominated,absent_or_not_selected
daytrader,stage3b,26,100,72,True,False,False,,False,False,,False,False,seed26_solution038,False,0.32311811096662624,absent_not_dominated,absent_or_not_selected
daytrader,stage3b,27,100,49,True,False,False,,False,True,seed27_solution027,False,False,seed27_solution029,False,0.30703834540651681,absent_not_dominated,absent_or_not_selected
daytrader,stage3b,28,100,70,True,False,True,seed28_solution030,False,True,seed28_solution025;seed28_solution028,False,False,seed28_solution068,False,0.1577284401764682,absent_dominated,absent_or_not_selected
daytrader,stage3b,29,100,76,True,False,False,,False,True,seed29_solution033;seed29_solution036,False,False,seed29_solution051,False,0.13502494774717122,absent_not_dominated,absent_or_not_selected
xerces,stage3b,0,100,90,True,False,False,,False,False,,False,False,seed0_solution018,False,0.65975444195276101,absent_not_dominated,absent_or_not_selected
