profile_family,stage,subject,seed,budget,solution_id,status,coupling_change_vs_leiden,coupling_change_vs_conservative,cohesion_change_vs_leiden,cohesion_change_vs_conservative,imbalance_change_vs_leiden,imbalance_change_vs_conservative,weighted_modularity_change_vs_leiden,weighted_modularity_change_vs_conservative,cluster_count_change_vs_leiden,cluster_count_change_vs_conservative,max_cluster_ratio_change_vs_leiden,max_cluster_ratio_change_vs_conservative,singleton_ratio_change_vs_leiden,singleton_ratio_change_vs_conservative
stage2_balance,stage2,daytrader,6,0.050000000000000003,seed6_solution038,selected,0.0036900369003690092,0,1.1308189005158704,0,-0.17501968082860431,0,-0.0047327531624024588,0,-2,0,0,0,-0.056603773584905662,0
stage2_balance,stage2,daytrader,13,0.050000000000000003,seed13_solution033,selected,0,0,1.4089580453216826,0,-0.14872589468235631,0,0,0,-2,0,0,0,-0.056603773584905662,0
stage2_balance,stage2,daytrader,14,0.050000000000000003,seed14_solution042,selected,0.0069188191881918715,0,1.5487511226147594,0,-0.26183360183851812,0,-0.0081990773205702916,0,-3,0,0,0,-0.056603773584905662,0
stage2_balance,stage2,daytrader,17,0.050000000000000003,seed17_solution034,selected,0.016143911439114367,0,0.4310474374110731,0,-0.1057235127310715,0,-0.013503079853215527,0,-1,0,0,0,-0.037735849056603772,0
stage2_balance,stage2,daytrader,18,0.050000000000000003,seed18_solution034,selected,0.010608856088560881,0.010608856088560881,0.3256445070081444,-0.23136363636363644,-0.057461483279771075,-0.01687261021390607,-0.011204572377827127,-0.011204572377827127,-1,0,0.018867924528301883,0,-0.018867924528301883,0
stage2_balance,stage2,daytrader,20,0.050000000000000003,seed20_solution038,selected,0,0,1.4089580453216826,0,-0.14872589468235631,0,0,0,-2,0,0,0,-0.056603773584905662,0
stage2_balance,stage2,daytrader,21,0.050000000000000003,seed21_solution030,selected,0,0,0.55700814337178084,0,-0.040588873065865005,0,0,0,-1,0,0.018867924528301883,0,-0.018867924528301883,0
stage2_balance,stage2,daytrader,22,0.050000000000000003,seed22_solution037,selected,0.012915129151291505,0,-0.27336300063572772,0,-0.049615943161186782,0,-0.010042074590487615,0,0,0,-0.018867924528301883,0,-0.018867924528301883,0
stage2_balance,stage2,daytrader,24,0.050000000000000003,seed24_solution029,selected,0,0,8.8817841970012523e-16,0,2.2204460492503131e-16,0,0,0,0,0,0,0,0,0
stage2_balance,stage2,daytrader,25,0.050000000000000003,seed25_solution046,selected,0.011531365313653119,0,0.17606501242864869,0,-0.1705709212574269,0,-0.010274084809575035,0,-2,0,0,0,-0.056603773584905662,0
stage2_balance,stage2,daytrader,28,0.050000000000000003,seed28_solution041,selected,0.0050738007380073946,0.00046125461254614697,0.56350830987194644,-0.43913752913752901,-0.15232198890595994,-0.0375020453173871,-0.0028807137702373531,-0.00014999285140454566,-1,0,-0.018867924528301883,-0.018867924528301883,-0.037735849056603772,0
stage2_balance,stage2,daytrader,29,0.050000000000000003,seed29_solution040,selected,0.010608856088560881,0.00645756457564578,0.81017657987355118,-0.6858980525647187,-0.202313732629258,-0.057880347439782875,-0.010586303971895805,-0.0074498577089091578,-2,0,-0.018867924528301883,-0.037735849056603765,-0.056603773584905662,0
stage2_balance,stage2,xerces,0,0.050000000000000003,seed0_solution021,selected,0.020244428468727538,0.012307692307692325,-4.349149214420839,-4.6050412225863262,-0.18039528250595316,-0.14630925669937822,-0.016979084501837494,-0.0099070067874974521,-4,-3,-0.0049140049140049269,-0.0049140049140049269,-0.012285012285012286,-0.011056511056511056
stage2_balance,stage2,xerces,1,0.050000000000000003,seed1_solution019,selected,0.02510424155283969,0.02510424155283969,-6.9567234376240501,-7.2251386951792318,-0.075610846614745153,-0.045866748244555833,-0.023319746899163274,-0.023319746899163274,-2,-1,0.0012285012285012109,0,-0.0098280098280098295,-0.0085995085995085978
stage2_balance,stage2,xerces,2,0.050000000000000003,seed2_solution022,selected,0.034363767074047452,0.034910136592379598,0.76451689072293227,0.76843645669527127,-0.10163765974463845,-0.096145127274039011,-0.031317541905677926,-0.03243876434778159,-2,-2,-0.0024570024570024496,-0.0024570024570024496,-0.0085995085995086012,-0.0085995085995086012
stage2_balance,stage2,xerces,3,0.050000000000000003,seed3_solution012,selected,0.028670021567217818,0.028670021567217818,0.45287366504817328,0.45287366504817328,-0.11597603905708831,-0.11597603905708809,-0.025105604323986896,-0.025105604323986896,-2,-2,-0.0061425061425061378,-0.0061425061425061378,-0.0073710073710073721,-0.0073710073710073721
stage2_balance,stage2,xerces,4,0.050000000000000003,seed4_solution018,selected,0.034938892882818123,0.034938892882818123,-4.1724362472160283,-4.1724362472160283,-0.10702631496391413,-0.1070263149639139,-0.029174353151434018,-0.029174353151434018,-2,-2,-0.0061425061425061378,-0.0061425061425061378,-0.012285012285012286,-0.012285012285012286
stage2_balance,stage2,xerces,5,0.050000000000000003,seed5_solution016,selected,0.033299784327821713,0.033299784327821713,0.32049425557883637,0.32049425557883637,-0.11736448254111531,-0.11736448254111509,-0.030880774579935322,-0.030880774579935322,-2,-2,-0.0049140049140049269,-0.0049140049140049269,-0.011056511056511058,-0.011056511056511058
stage2_balance,stage2,xerces,6,0.050000000000000003,seed6_solution021,selected,0.030711718188353693,0.030711718188353693,-4.1773619008206602,-4.4458985785662595,-0.16803105524702522,-0.13807549602826552,-0.025463969308706758,-0.025463969308706758,-4,-3,0,0,-0.011056511056511058,-0.0098280098280098278
stage2_balance,stage2,xerces,7,0.050000000000000003,seed7_solution022,selected,0.0308842559309849,0.030970524802300503,-4.5937164450698678,-4.5950159878619914,-0.10851332347193487,-0.1089047693062466,-0.027331898964329082,-0.027414245733975329,-2,-2,-0.0036855036855036882,-0.0036855036855036882,-0.0085995085995086012,-0.0085995085995086012
stage2_balance,stage2,xerces,8,0.050000000000000003,seed8_solution016,selected,0.034335010783608927,0.034335010783608927,0.28483878687475794,0.28483878687475794,-0.11043827526864192,-0.11043827526864169,-0.031497278023816411,-0.031497278023816411,-2,-2,0,0,-0.0098280098280098295,-0.0098280098280098295
stage2_balance,stage2,xerces,9,0.050000000000000003,seed9_solution022,selected,0.029360172537742618,0.028756290438533422,0.78006672997847204,0.8345068844186283,-0.12205956687331954,-0.1181386782031304,-0.02266907659954287,-0.02208695129054461,-3,-3,-0.0012285012285012387,-0.0012285012285012387,-0.0098280098280098295,-0.0085995085995085978
stage2_balance,stage2,xerces,10,0.050000000000000003,seed10_solution022,selected,0.011560028756290447,0.011560028756290447,-4.5830533212331535,-4.84952475699472,-0.08465223962381585,-0.052368309451910733,-0.01086620045367126,-0.01086620045367126,-2,-1,-0.0012285012285012387,-0.0012285012285012387,-0.006142506142506143,-0.004914004914004913
stage2_balance,stage2,xerces,11,0.050000000000000003,seed11_solution020,selected,0.024730409777138751,0.024730409777138751,0.46216466726897742,0.46216466726897742,-0.083442883971400539,-0.083442883971400317,-0.022214840912696987,-0.022214840912696987,-2,-2,-0.0049140049140049269,-0.0049140049140049269,-0.0049140049140049148,-0.0049140049140049148
stage2_balance,stage2,xerces,12,0.050000000000000003,seed12_solution022,selected,0.033846153846153831,0.033846153846153831,-7.1740858671780163,-7.4417574025354174,-0.12496899061172395,-0.093038115614610284,-0.031907825649225896,-0.031907825649225896,-3,-2,0,0,-0.012285012285012286,-0.011056511056511056
stage2_balance,stage2,xerces,13,0.050000000000000003,seed13_solution022,selected,0.018317757009345792,0.018317757009345792,-5.7915909417980016,-6.341020104379445,-0.13109492082891228,-0.065161223229576626,-0.01713280103530912,-0.01713280103530912,-3,-1,-0.0024570024570024496,-0.0024570024570024496,-0.012285012285012286,-0.0098280098280098278
stage2_balance,stage2,xerces,14,0.050000000000000003,seed14_solution019,selected,0.021164629762760595,0.021164629762760595,0.22084882953770268,0.22084882953770268,-0.046058342253144646,-0.046058342253144424,-0.020323419166346612,-0.020323419166346612,-1,-1,-0.0049140049140049269,-0.0049140049140049269,-0.0049140049140049148,-0.0049140049140049148
