profile_family,stage,subject,budget,permitted_loss,selected_count,median_realised_loss,mean_realised_loss,iqr_realised_loss,maximum_realised_loss,solutions_above_leiden,solutions_equal_leiden_within_tolerance
stage3_semantic,stage3a,xerces,0.050000000000000003,0.050000000000000003,30,0.0013670555938627657,0.0041121695350358799,0.0037676390727225126,0.037680873989451774,3,2
stage3_semantic,stage3a,xerces,0.10000000000000001,0.10000000000000001,30,0.0013670555938627657,0.0041121695350358799,0.0037676390727225126,0.037680873989451774,3,2
stage3_semantic,stage3a,xerces,0.14999999999999999,0.14999999999999999,30,0.0013670555938627657,0.0041121695350358799,0.0037676390727225126,0.037680873989451774,3,2
stage3_semantic,stage3a,xerces,0.20000000000000001,0.20000000000000001,30,0.0013670555938627657,0.0041121695350358799,0.0037676390727225126,0.037680873989451774,3,2
stage3_semantic,stage3b,daytrader,0,0,4,0,0,0,0,0,4
stage3_semantic,stage3b,daytrader,0.0050000000000000001,0.0050000000000000001,6,0,0.0013962103174928566,0.002866431470608968,0.0045553532774785148,0,4
stage3_semantic,stage3b,daytrader,0.01,0.01,9,0.0038219086274786239,0.0039452053996412344,0.0087312030229193295,0.0096671806459753123,0,4
stage3_semantic,stage3b,daytrader,0.025000000000000001,0.025000000000000001,10,0.0041886309524785696,0.0045969085865132245,0.0087312030229193295,0.010462237268361135,0,4
stage3_semantic,stage3b,daytrader,0.050000000000000003,0.050000000000000003,19,0.029593082417483391,0.022901145987860996,0.027199391745634374,0.045315277966673839,0,3
stage3_semantic,stage3b,daytrader,0.10000000000000001,0.10000000000000001,24,0.03582244609362073,0.034371806405132634,0.039211268436481511,0.079238895507078064,0,3
stage3_semantic,stage3b,daytrader,0.14999999999999999,0.14999999999999999,25,0.070389712111504674,0.070107437515464485,0.089518918644339807,0.14914619898373022,0,2
stage3_semantic,stage3b,daytrader,0.20000000000000001,0.20000000000000001,26,0.075890710848131454,0.083962345606107172,0.10729315336956868,0.18713653442487033,0,2
stage3_semantic,stage3b,jpetstore,0,0,26,0,0,0,0,0,26
stage3_semantic,stage3b,jpetstore,0.0050000000000000001,0.0050000000000000001,28,0.0048820515649457006,0.0029655803543722869,0.0048820515649457006,0.0049234248832928165,0,11
stage3_semantic,stage3b,jpetstore,0.01,0.01,29,0.0048820515649457006,0.0032052432834340705,0.0048820515649457006,0.0099158052971640327,0,11
stage3_semantic,stage3b,jpetstore,0.025000000000000001,0.025000000000000001,30,0.011343184780135315,0.0082962697356474841,0.0064611332151896144,0.016997538287558497,0,4
stage3_semantic,stage3b,jpetstore,0.050000000000000003,0.050000000000000003,30,0.026834044724557193,0.028941785442568136,0.034332958674950578,0.047117314044173006,0,0
stage3_semantic,stage3b,jpetstore,0.10000000000000001,0.10000000000000001,30,0.060932554595541408,0.054126643727460198,0.045143461981368205,0.084691182656304889,0,0
stage3_semantic,stage3b,jpetstore,0.14999999999999999,0.14999999999999999,30,0.11239061928962017,0.11101840423111145,0.021295191730852786,0.14948179918770393,0,0
stage3_semantic,stage3b,jpetstore,0.20000000000000001,0.20000000000000001,30,0.16061811737610418,0.15496583253459847,0.02734603953910128,0.19958488770591851,0,0
stage3_semantic,stage3b,xerces,0,0,8,0,-9.9330306001508406e-05,0,0,1,7
stage3_semantic,stage3b,xerces,0.0050000000000000001,0.0050000000000000001,27,0.00047066815656375408,0.0010978410803949667,0.0014955970283556134,0.0043510381798398667,1,4
stage3_semantic,stage3b,xerces,0.01,0.01,29,0.0010874082842081659,0.0016507206558061622,0.0024732438279018664,0.0065454878492012761,1,3
stage3_semantic,stage3b,xerces,0.025000000000000001,0.025000000000000001,30,0.0013571090394113396,0.0026213213187021842,0.0028777543344630043,0.01801155318612847,1,2
stage3_semantic,stage3b,xerces,0.050000000000000003,0.050000000000000003,30,0.0013571090394113396,0.0035823774229282132,0.0035980448191543883,0.031220234987367628,1,2
stage3_semantic,stage3b,xerces,0.10000000000000001,0.10000000000000001,30,0.0013571090394113396,0.0035823774229282132,0.0035980448191543883,0.031220234987367628,1,2
stage3_semantic,stage3b,xerces,0.14999999999999999,0.14999999999999999,30,0.0013571090394113396,0.0035823774229282132,0.0035980448191543883,0.031220234987367628,1,2
stage3_semantic,stage3b,xerces,0.20000000000000001,0.20000000000000001,30,0.0013571090394113396,0.0035823774229282132,0.0035980448191543883,0.031220234987367628,1,2
