subject,seed,budget,source_stage,evaluation_graph,solution_id,f_semantic,semantic_improvement_vs_same_graph_leiden,evaluation_policy
jpetstore,9,0.0050000000000000001,stage3a,stage3a,seed9_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,9,0.0050000000000000001,stage3a,stage3b,seed9_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,9,0.01,stage3a,stage3a,seed9_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,9,0.01,stage3a,stage3b,seed9_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,9,0.025000000000000001,stage3a,stage3a,seed9_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,9,0.025000000000000001,stage3a,stage3b,seed9_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,9,0.050000000000000003,stage3a,stage3a,seed9_solution002,0.56210084510200986,0.061265319373319485,post-hoc matched partition; no reselection
jpetstore,9,0.050000000000000003,stage3a,stage3b,seed9_solution002,0.51064365263993539,0.0031554594957945918,post-hoc matched partition; no reselection
jpetstore,9,0.10000000000000001,stage3a,stage3a,seed9_solution007,0.5503235028280562,0.080934031374925872,post-hoc matched partition; no reselection
jpetstore,9,0.10000000000000001,stage3a,stage3b,seed9_solution007,0.46636589533344286,0.089591549337627682,post-hoc matched partition; no reselection
jpetstore,9,0.14999999999999999,stage3a,stage3a,seed9_solution019,0.3929618208554535,0.34373539443393381,post-hoc matched partition; no reselection
jpetstore,9,0.14999999999999999,stage3a,stage3b,seed9_solution019,0.41478302402670575,0.19028819636304214,post-hoc matched partition; no reselection
jpetstore,9,0.20000000000000001,stage3a,stage3a,seed9_solution019,0.3929618208554535,0.34373539443393381,post-hoc matched partition; no reselection
jpetstore,9,0.20000000000000001,stage3a,stage3b,seed9_solution019,0.41478302402670575,0.19028819636304214,post-hoc matched partition; no reselection
jpetstore,10,0.0050000000000000001,stage3a,stage3a,seed10_solution002,0.60061837755350822,-0.003060759904898327,post-hoc matched partition; no reselection
