class_name,package,cluster_id,cluster_size
org.eclipse.cargotracker.domain.shared.AndSpecification,org.eclipse.cargotracker.domain.shared,6,5
org.eclipse.cargotracker.domain.shared.NotSpecification,org.eclipse.cargotracker.domain.shared,6,5
org.eclipse.cargotracker.domain.shared.OrSpecification,org.eclipse.cargotracker.domain.shared,6,5
org.eclipse.cargotracker.domain.shared.Specification,org.eclipse.cargotracker.domain.shared,6,5
org.eclipse.cargotracker.interfaces.handling.file.EventFilesCheckpoint,org.eclipse.cargotracker.interfaces.handling.file,7,4
org.eclipse.cargotracker.interfaces.handling.file.EventItemReader,org.eclipse.cargotracker.interfaces.handling.file,7,4
org.eclipse.cargotracker.interfaces.handling.file.EventLineParseException,org.eclipse.cargotracker.interfaces.handling.file,7,4
org.eclipse.cargotracker.interfaces.handling.file.LineParseExceptionListener,org.eclipse.cargotracker.interfaces.handling.file,7,4
org.eclipse.cargotracker.application.util.RestConfiguration,org.eclipse.cargotracker.application.util,8,1
org.eclipse.cargotracker.infrastructure.events.cdi.CargoUpdated,org.eclipse.cargotracker.infrastructure.events.cdi,9,1
org.eclipse.cargotracker.infrastructure.logging.LoggerProducer,org.eclipse.cargotracker.infrastructure.logging,10,1
org.eclipse.cargotracker.infrastructure.messaging.jms.DeliveredCargoConsumer,org.eclipse.cargotracker.infrastructure.messaging.jms,11,1
org.eclipse.cargotracker.infrastructure.messaging.jms.MisdirectedCargoConsumer,org.eclipse.cargotracker.infrastructure.messaging.jms,12,1
org.eclipse.cargotracker.infrastructure.messaging.jms.RejectedRegistrationAttemptsConsumer,org.eclipse.cargotracker.infrastructure.messaging.jms,13,1
org.eclipse.cargotracker.interfaces.FacesConfiguration,org.eclipse.cargotracker.interfaces,14,1
org.eclipse.cargotracker.interfaces.booking.web.ChangeArrivalDeadlineDialog,org.eclipse.cargotracker.interfaces.booking.web,15,1
org.eclipse.cargotracker.interfaces.booking.web.ChangeDestinationDialog,org.eclipse.cargotracker.interfaces.booking.web,16,1
org.eclipse.cargotracker.interfaces.handling.file.FileProcessorJobListener,org.eclipse.cargotracker.interfaces.handling.file,17,1
org.eclipse.cargotracker.interfaces.handling.file.UploadDirectoryScanner,org.eclipse.cargotracker.interfaces.handling.file,18,1
