subject,seed,generation,hypervolume,best_so_far_hypervolume,front_solution_count
jpetstore,15,53,0.3790340255419036,0.3790340255419036,92
jpetstore,15,54,0.3790482909820557,0.3790482909820557,94
jpetstore,15,55,0.3792051532865692,0.3792051532865692,94
jpetstore,15,56,0.37948801315792047,0.37948801315792047,95
jpetstore,15,57,0.3798575384164523,0.3798575384164523,97
jpetstore,15,58,0.38111417561749117,0.38111417561749117,97
jpetstore,15,59,0.3811916433173492,0.3811916433173492,97
jpetstore,15,60,0.38185735331757564,0.38185735331757564,100
jpetstore,15,61,0.3818887146967002,0.3818887146967002,100
jpetstore,15,62,0.3817355615363985,0.3818887146967002,100
jpetstore,15,63,0.3817355615363985,0.3818887146967002,100
jpetstore,15,64,0.3821505292847429,0.3821505292847429,100
jpetstore,15,65,0.3821734798997563,0.3821734798997563,100
jpetstore,15,66,0.3825742514827902,0.3825742514827902,100
jpetstore,15,67,0.3828990727362992,0.3828990727362992,99
jpetstore,15,68,0.3821275161733922,0.3828990727362992,100
jpetstore,15,69,0.3821275161733922,0.3828990727362992,100
jpetstore,15,70,0.3821234382467062,0.3828990727362992,100
jpetstore,15,71,0.38237739650520486,0.3828990727362992,100
jpetstore,15,72,0.38239424153371854,0.3828990727362992,100
jpetstore,15,73,0.38273111074478655,0.3828990727362992,100
jpetstore,15,74,0.38273111074478655,0.3828990727362992,100
jpetstore,15,75,0.38278597936725556,0.3828990727362992,100
jpetstore,15,76,0.3829065878823271,0.3829065878823271,100
jpetstore,15,77,0.3828479184617353,0.3829065878823271,100
jpetstore,15,78,0.38331632331238547,0.38331632331238547,100
jpetstore,15,79,0.38332231922240373,0.38332231922240373,99
jpetstore,15,80,0.383354801739534,0.383354801739534,98
jpetstore,15,81,0.38337985651226797,0.38337985651226797,99
jpetstore,15,82,0.38361211318703436,0.38361211318703436,100
jpetstore,15,83,0.3837982182383144,0.3837982182383144,96
jpetstore,15,84,0.3838982572542469,0.3838982572542469,100
jpetstore,15,85,0.3841222642704932,0.3841222642704932,100
jpetstore,15,86,0.3847996906550433,0.3847996906550433,99
jpetstore,15,87,0.3849042330417158,0.3849042330417158,100
jpetstore,15,88,0.3851673075837461,0.3851673075837461,100
jpetstore,15,89,0.3854031359241546,0.3854031359241546,98
jpetstore,15,90,0.38540480032024327,0.38540480032024327,99
jpetstore,15,91,0.385136482504109,0.38540480032024327,100
jpetstore,15,92,0.38514814203499476,0.38540480032024327,100
jpetstore,15,93,0.38557980830989075,0.38557980830989075,100
jpetstore,15,94,0.3855980293393974,0.3855980293393974,100
jpetstore,15,95,0.38600471217875165,0.38600471217875165,100
jpetstore,15,96,0.386074434413394,0.386074434413394,100
jpetstore,15,97,0.3866903614178763,0.3866903614178763,100
jpetstore,15,98,0.3867868589566912,0.3867868589566912,100
jpetstore,15,99,0.3868481751974329,0.3868481751974329,100
jpetstore,15,100,0.38686940111459556,0.38686940111459556,100
