row_index,class_id,class_name,input_hash
83,org.apache.xerces.dom.SecuritySupport$8,SecuritySupport$8,3fb44aac69d888d2755eca62a1e593fa088043d6451fd19b3a90cfbc8a92ff23
84,org.apache.xerces.dom.TextImpl,TextImpl,118ae1402b20a420826051b0f94a2c305a0ed4ac5f96128eb51a54a1b20735f3
85,org.apache.xerces.dom.TreeWalkerImpl,TreeWalkerImpl,792954df8a121f5cc716d0f1f5d04af451d5e1d47e5e9a4b18aa8dd3bfd8ca28
86,org.apache.xerces.dom.events.EventImpl,EventImpl,cee84309e3af28858e4029db41ccaadfdc106aecfc788d8fd8687295097812ef
87,org.apache.xerces.dom.events.MouseEventImpl,MouseEventImpl,8928a1a71a9a9563a329ba3938e13c31a60e6c33e1342053ac5e12b7197e608d
88,org.apache.xerces.dom.events.MutationEventImpl,MutationEventImpl,c3752433542f10507d6b8b02eb1387d65935d7ba380268acbad16215fb45582d
89,org.apache.xerces.dom.events.UIEventImpl,UIEventImpl,660fb151c2c31d36c192855b129534e41143ea17e00838b271366b723c5b9bc5
90,org.apache.xerces.dom3.as.ASAttributeDeclaration,ASAttributeDeclaration,7f7c2545f20e6c72197e0a1ea8fb5db35c2c52fd84a4f1a294965094e5c50a01
91,org.apache.xerces.dom3.as.ASContentModel,ASContentModel,d0d87f060de4581202c82b44da9ee3044aadf0c296ada26e7a8ffcb242d25745
92,org.apache.xerces.dom3.as.ASDataType,ASDataType,6181528876b24785359f6ed9f3dde459cbfe06bbecf3d5641c314fbc26350ef3
93,org.apache.xerces.dom3.as.ASElementDeclaration,ASElementDeclaration,3ff27bc2947cfb67014876ace37eafebe7fe0a4b951014674a957c7704fd860e
94,org.apache.xerces.dom3.as.ASEntityDeclaration,ASEntityDeclaration,5a4e2757cfc6e70f162d3b32c37a08b47263a580e800b57c39b9770152e9b6b3
95,org.apache.xerces.dom3.as.ASModel,ASModel,ba35372c5bb400b899193488d1340936f4cba63b004685a024ec75001481aa1c
96,org.apache.xerces.dom3.as.ASNamedObjectMap,ASNamedObjectMap,19c08e57e191389e6331dac8e350a1d8215c5dac53361c84b0a6c1507dc764db
