subject,class_id,stage3_declaration_hash,exact_match
xerces,org.apache.xerces.dom.DeferredCDATASectionImpl,e9af53b37f0f377f42693c4bd7fa4460829674044cb003c13f85fb3032d58d86,True
xerces,org.apache.xerces.dom.DeferredCommentImpl,bf4af5ad99bf22531ce097fd6b8dc4575864123767a140c5909093e0a3fc218c,True
xerces,org.apache.xerces.dom.DeferredDOMImplementationImpl,d564f8c2d5ceed18cce008e7285be2fca4bfb1f08f21c732015d0c789bcd01b5,True
xerces,org.apache.xerces.dom.DeferredDocumentImpl,7d08e1d031c2e37cc4f84904ca2effd02b05f90d2f8f31d7bc630a67fbcad160,True
xerces,org.apache.xerces.dom.DeferredDocumentImpl$IntVector,15ba6db5c7b2a80f0c18fe5f9a8eba4edb0dac50c7bbeafb9e06beb8057c4b70,True
xerces,org.apache.xerces.dom.DeferredDocumentImpl$RefCount,4c5b3c8dfa3a8bc432f70b296216d20e41b7aacc5c45aa42c05e87561f060dba,True
xerces,org.apache.xerces.dom.DeferredDocumentTypeImpl,49ec0106319db4175c6232ab7e2e7134d3db73f3434c1c8a4853929f219f8bb0,True
xerces,org.apache.xerces.dom.DeferredElementDefinitionImpl,e7b46f36baf37a4e80e0672265e63e67aa3a8f1bea8b9bab30a13a1c17e59ce3,True
xerces,org.apache.xerces.dom.DeferredElementImpl,addf4894d2331e40425be45bc9b792b493863275eb719f49d74426176d4a1045,True
xerces,org.apache.xerces.dom.DeferredElementNSImpl,4ab3bf0802b2c8cf6e896a04eed45f6b929e76ca4aa932f24621a6dbc6d4164e,True
xerces,org.apache.xerces.dom.DeferredEntityImpl,aa4bbd96fec480e468e4843104dd334550c07b0c366cefe9ac1b11e78d7009da,True
xerces,org.apache.xerces.dom.DeferredEntityReferenceImpl,92a946abb3ca267ea1b94bfdce5a21c9725724d198dd32e683fef3e62247eced,True
xerces,org.apache.xerces.dom.DeferredNode,90fbbab23e08d2f741464c2e0623b4ad4ff4b7929e298993db92b1ea1dbe14f3,True
xerces,org.apache.xerces.dom.DeferredNotationImpl,468b5723ae951bb0a66bd2abf6953d54101b846060f534670a7fcb5e59b0645d,True
xerces,org.apache.xerces.dom.DeferredProcessingInstructionImpl,f4ffe1b82556c0c26c55f3f71c0b0fd06ac06b0146a2b93608d8d3801975a422,True
xerces,org.apache.xerces.dom.DeferredTextImpl,44dfb58c5b48175a7223d2a32ad3604c60c729ed4065238caf9cdf16159c6408,True
xerces,org.apache.xerces.dom.DocumentFragmentImpl,fcd78058bbf792c73c342c82d279f778edaabf57ed3fe44951ffe9ae43c18a4a,True
xerces,org.apache.xerces.dom.DocumentImpl,46e40ff2c72bedf2d385235de99cccaca56a3749adb57f9d2baf9cced0a03afd,True
xerces,org.apache.xerces.dom.DocumentImpl$EnclosingAttr,690921ebbcc0e5b15edb98e1b4dc4637a8fbf485f7cf4137956f6463e354e61a,True
xerces,org.apache.xerces.dom.DocumentImpl$LEntry,d199f66cea8086ebf7673ba23dd0535b882c9c079ef5629543ca6fa44fac190e,True
xerces,org.apache.xerces.dom.DocumentTypeImpl,c4bf03c888fedcc12dc8b7e8d7d512f4caa6db35219cc2c59748aa2962262af1,True
xerces,org.apache.xerces.dom.ElementDefinitionImpl,b12eb325335d5c64f0011d6803fd03213b604a2dc4b46988cbb12185f09982b9,True
xerces,org.apache.xerces.dom.ElementImpl,7bec723f178367e2954e86664a01ec95e2b496b6f77f36007a54f103db2d881a,True
xerces,org.apache.xerces.dom.ElementNSImpl,77033ab4b72069ba0472d09b3f29f40ce0acabf9397af36f9d698c8a5a570369,True
xerces,org.apache.xerces.dom.EntityImpl,01f665d38e7a560903178bf415f30c88f4a32a09f458f394e3b8fea329abeaa7,True
xerces,org.apache.xerces.dom.EntityReferenceImpl,e3bdda253d752c729de94b5f4914e3b73dc033cc87a4386fb7efc26a07a07692,True
xerces,org.apache.xerces.dom.LCount,f5a0518fdb10799c6bd1e5fa0af092b576f926aeef665af598d49bfe5905a665,True
xerces,org.apache.xerces.dom.NamedNodeMapImpl,a4ad67e83fe276217a48bade028ad4a2e198a1a48a75d976e742db63d342a62d,True
xerces,org.apache.xerces.dom.NodeImpl,a054db087d47375fc54c85d2aaafbf4fc7360dd664db1bc5a3adea4c979e03ce,True
xerces,org.apache.xerces.dom.NodeIteratorImpl,a5a9c79e39528c03bda96e0d68038239c6fedd13b2af7cfbcadb87b5a8644833,True
xerces,org.apache.xerces.dom.NodeListCache,20ea4d55a1851683bafd498633db8380e8dbb4b5b464e34721663898ba88d342,True
xerces,org.apache.xerces.dom.NotationImpl,b893d6e09199603c1c3547739cc477ef8dbaf7587c35e1c583c152e5a56b97eb,True
xerces,org.apache.xerces.dom.ObjectFactory,49d1e77c8fa6215bec51a06cbcabbb4d099d74647e64a04d6494e5a59133a34a,True
xerces,org.apache.xerces.dom.ObjectFactory$ConfigurationError,c0a57e73698c8de56d69b20887c969d80b4b3746e029eb7120d15b6e6056ef3e,True
xerces,org.apache.xerces.dom.PSVIAttrNSImpl,d926b82f1682f4491cdf975f818878a35b1755e710c47038db91014118520ccc,True
xerces,org.apache.xerces.dom.PSVIDOMImplementationImpl,516d879db485cd11f28ce69dea113ea1ba56d0a35a487dd63cab7ba0c1bd7114,True
xerces,org.apache.xerces.dom.PSVIDocumentImpl,25e45d276341c941917363d3b8260a6b17c3302ae4343d2909d7e25ebe82b236,True
xerces,org.apache.xerces.dom.PSVIElementNSImpl,d5959bdb906450a51d8a29a0eb6fe9a88d99d67f1cbc2fee828606ce9e9c9987,True
xerces,org.apache.xerces.dom.ParentNode,1f12dca941fb467da495209edd863ea2c6c365a75bba77f47067814f2cab0627,True
xerces,org.apache.xerces.dom.ParentNode$1,607533be5244d4a1a3974f7151354e98f07264c5ee7c5a2b54345f58edebdec3,True
xerces,org.apache.xerces.dom.ParentNode$UserDataRecord,59bcc873a1a7604c5a9a0ba105971c4100612174ea2b3beee608cf15ad1b6893,True
xerces,org.apache.xerces.dom.ProcessingInstructionImpl,e504c56bcc80dd91d05d6fc033b5f8db1cc16a73191c8928b156ccf4ddf7dccd,True
xerces,org.apache.xerces.dom.RangeExceptionImpl,7f05fc7653eeba9e4df59c975d73641c40313c8f9539dfc1310fe340fb7c2b2e,True
xerces,org.apache.xerces.dom.RangeImpl,47ad5c02d86182d22f56dce85dabb2227bf488d48ba73d30347bffeb16185713,True
xerces,org.apache.xerces.dom.SecuritySupport,d1104d3c86bd262db5f9c4221b4ffa629dc2aeb3fb8a3e8516aebe3ea404fe5f,True
xerces,org.apache.xerces.dom.SecuritySupport$1,98d3409121602417f75407e38f07caea05966fb746d4119733f29c4ca624eab7,True
xerces,org.apache.xerces.dom.SecuritySupport$2,6af59348663710d36475a07859dfaf00b11370bbdb8225118603d678d529184e,True
