source,target,flow_type,weight,evidence_method,evidence_statement
org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory,org.eclipse.cargotracker.application.ApplicationEvents,return_value_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultHandlingEventService: void registerHandlingEvent(java.time.LocalDateTime,org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.voyage.VoyageNumber,org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.handling.HandlingEvent$Type)>",interfaceinvoke $r10.<org.eclipse.cargotracker.application.ApplicationEvents: void cargoWasHandled(org.eclipse.cargotracker.domain.model.handling.HandlingEvent)>(r8)
org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory,argument_passing_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultHandlingEventService: void registerHandlingEvent(java.time.LocalDateTime,org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.voyage.VoyageNumber,org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.handling.HandlingEvent$Type)>","r8 = virtualinvoke $r7.<org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory: org.eclipse.cargotracker.domain.model.handling.HandlingEvent createHandlingEvent(java.time.LocalDateTime,java.time.LocalDateTime,org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.voyage.VoyageNumber,org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.handling.HandlingEvent$Type)>(r0, r2, r3, r4, r5, r6)"
org.eclipse.cargotracker.domain.model.voyage.VoyageNumber,org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory,argument_passing_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultHandlingEventService: void registerHandlingEvent(java.time.LocalDateTime,org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.voyage.VoyageNumber,org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.handling.HandlingEvent$Type)>","r8 = virtualinvoke $r7.<org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory: org.eclipse.cargotracker.domain.model.handling.HandlingEvent createHandlingEvent(java.time.LocalDateTime,java.time.LocalDateTime,org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.voyage.VoyageNumber,org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.handling.HandlingEvent$Type)>(r0, r2, r3, r4, r5, r6)"
org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory,argument_passing_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultHandlingEventService: void registerHandlingEvent(java.time.LocalDateTime,org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.voyage.VoyageNumber,org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.handling.HandlingEvent$Type)>","r8 = virtualinvoke $r7.<org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory: org.eclipse.cargotracker.domain.model.handling.HandlingEvent createHandlingEvent(java.time.LocalDateTime,java.time.LocalDateTime,org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.voyage.VoyageNumber,org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.handling.HandlingEvent$Type)>(r0, r2, r3, r4, r5, r6)"
org.eclipse.cargotracker.domain.model.handling.HandlingEvent$Type,org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory,argument_passing_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultHandlingEventService: void registerHandlingEvent(java.time.LocalDateTime,org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.voyage.VoyageNumber,org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.handling.HandlingEvent$Type)>","r8 = virtualinvoke $r7.<org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory: org.eclipse.cargotracker.domain.model.handling.HandlingEvent createHandlingEvent(java.time.LocalDateTime,java.time.LocalDateTime,org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.voyage.VoyageNumber,org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.handling.HandlingEvent$Type)>(r0, r2, r3, r4, r5, r6)"
org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory,org.eclipse.cargotracker.domain.model.handling.HandlingEventRepository,argument_passing_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultHandlingEventService: void registerHandlingEvent(java.time.LocalDateTime,org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.voyage.VoyageNumber,org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.handling.HandlingEvent$Type)>",interfaceinvoke $r9.<org.eclipse.cargotracker.domain.model.handling.HandlingEventRepository: void store(org.eclipse.cargotracker.domain.model.handling.HandlingEvent)>(r8)
org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory,org.eclipse.cargotracker.application.ApplicationEvents,argument_passing_flow,3,"<org.eclipse.cargotracker.application.internal.DefaultHandlingEventService: void registerHandlingEvent(java.time.LocalDateTime,org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.voyage.VoyageNumber,org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.handling.HandlingEvent$Type)>",interfaceinvoke $r10.<org.eclipse.cargotracker.application.ApplicationEvents: void cargoWasHandled(org.eclipse.cargotracker.domain.model.handling.HandlingEvent)>(r8)
org.eclipse.cargotracker.domain.model.location.Location,org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory,return_value_flow,3,<org.eclipse.cargotracker.application.util.SampleDataGenerator: void loadSampleCargos()>,"r302 = virtualinvoke $r49.<org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory: org.eclipse.cargotracker.domain.model.handling.HandlingEvent createHandlingEvent(java.time.LocalDateTime,java.time.LocalDateTime,org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.voyage.VoyageNumber,org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.handling.HandlingEvent$Type)>($r59, $r58, $r2, null, $r57, $r56)"
org.eclipse.cargotracker.domain.model.voyage.Voyage,org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory,return_value_flow,3,<org.eclipse.cargotracker.application.util.SampleDataGenerator: void loadSampleCargos()>,"r303 = virtualinvoke $r61.<org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory: org.eclipse.cargotracker.domain.model.handling.HandlingEvent createHandlingEvent(java.time.LocalDateTime,java.time.LocalDateTime,org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.voyage.VoyageNumber,org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.handling.HandlingEvent$Type)>($r73, $r72, $r2, $r71, $r70, $r69)"
org.eclipse.cargotracker.domain.model.location.Location,org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory,return_value_flow,3,<org.eclipse.cargotracker.application.util.SampleDataGenerator: void loadSampleCargos()>,"r303 = virtualinvoke $r61.<org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory: org.eclipse.cargotracker.domain.model.handling.HandlingEvent createHandlingEvent(java.time.LocalDateTime,java.time.LocalDateTime,org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.voyage.VoyageNumber,org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.handling.HandlingEvent$Type)>($r73, $r72, $r2, $r71, $r70, $r69)"
