summary,stage,subject,budget,field,saved,recomputed,match,target,profile,profile_family,metric,reference
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.10000000000000001,mean_gain,0.22916860587861601,0.22916860587861598,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.10000000000000001,iqr_gain,0.17025895974558211,0.17025895974558225,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.10000000000000001,std_gain,0.1308797603666374,0.1308797603666374,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.10000000000000001,min_gain,-2.4865207393427118e-16,-2.4865207393427118e-16,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.10000000000000001,max_gain,0.42717803813051991,0.42717803813051991,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.10000000000000001,positive_count,15,15,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.10000000000000001,at_least_5pct_count,14,14,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.10000000000000001,at_least_10pct_count,12,12,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.10000000000000001,at_least_20pct_count,10,10,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.10000000000000001,at_least_30pct_count,6,6,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.10000000000000001,median_realised_modularity_loss,0.059810969225147503,0.059810969225147503,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.10000000000000001,mean_realised_modularity_loss,0.051287911436066903,0.051287911436066924,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.10000000000000001,max_realised_modularity_loss,0.0963922585212144,0.0963922585212144,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.10000000000000001,median_coupling,0.43888376383763827,0.43888376383763839,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.10000000000000001,median_cohesion,7.0790986790986796,7.0790986790986796,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.10000000000000001,median_cluster_count,9,9,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.10000000000000001,median_singleton_ratio,0.018867924528301799,0.018867924528301799,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.14999999999999991,seed_count,30,30,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.14999999999999991,eligible_seed_count,18,18,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.14999999999999991,availability_rate,0.59999999999999987,0.59999999999999998,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.14999999999999991,unavailable_seed_count,12,12,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.14999999999999991,median_gain,0.29526774792499438,0.29526774792499433,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.14999999999999991,mean_gain,0.25611454799929212,0.25611454799929212,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.14999999999999991,iqr_gain,0.1741536243161258,0.17415362431612583,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.14999999999999991,std_gain,0.13463891086699281,0.13463891086699281,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.14999999999999991,min_gain,-2.4865207393427118e-16,-2.4865207393427118e-16,True,,,,,
