subject,seed,stage,profile,profile_id,profile_role,source_front,selected_solution_id,weighted_modularity,Q_best,relative_modularity_loss,band_size,coupling,cohesion,imbalance,f_semantic,cluster_count,max_cluster_ratio,singleton_ratio,feasible,canonical_partition_identifier,canonical_partition_sha256,original_source_solution_id,source_front_row_index_zero_based,stage3_original_four_objective_row_index_zero_based
daytrader,15,stage2,BALANCE,P1,primary reporting profile,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_15/pareto_front.csv,seed15_solution030,0.19694082664996401,0.19694082664996401,0,1,0.39206642066420666,6.6310356310356315,0.66628088992488965,0.68753391778259543,8,0.26415094339622641,0,True,sha256:531d5d36f4b6efb611cce134b71cb3d3744e9853c4924519e96a46f0ab32b33d,531d5d36f4b6efb611cce134b71cb3d3744e9853c4924519e96a46f0ab32b33d,seed15_solution030,30,
daytrader,15,stage3,BALANCE,P1,primary reporting profile,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_15/projected_front_3d.csv,seed15_solution031,0.31216490958728771,0.321762643652728,0.029828615144643491,3,0.42850553505535055,5.1117539026629935,0.81022303975788257,0.57329205286005913,11,0.22641509433962265,0.056603773584905662,True,sha256:0718364be9a611cae77a069c7615dfc002280d2c214f283c20427ab2d00fa893,0718364be9a611cae77a069c7615dfc002280d2c214f283c20427ab2d00fa893,seed15_solution031,27,31
daytrader,16,stage2,BALANCE,P1,primary reporting profile,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_16/pareto_front.csv,seed16_solution039,0.28224452706934805,0.28224452706934805,0,2,0.45710332103321033,5.4418185980685978,0.60347870157431982,0.68580044535045404,8,0.24528301886792453,0,True,sha256:877eb9910129623b70ee4a614f42f474ff35f274a4e2e814a5b6247099f5b1ae,877eb9910129623b70ee4a614f42f474ff35f274a4e2e814a5b6247099f5b1ae,seed16_solution039,39,
daytrader,16,stage3,BALANCE,P1,primary reporting profile,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_16/projected_front_3d.csv,seed16_solution037,0.31201949098596132,0.32459676389891201,0.038747376165671144,2,0.42481549815498154,8.1298331298331288,0.76966332280645788,0.59586370043731329,9,0.26415094339622641,0.018867924528301886,True,sha256:a5f60ca79f2c1f2628827f2bdbd6168e539e3e9c11f4b93d1cd2c7a1a1945f12,a5f60ca79f2c1f2628827f2bdbd6168e539e3e9c11f4b93d1cd2c7a1a1945f12,seed16_solution037,24,37
daytrader,17,stage2,BALANCE,P1,primary reporting profile,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_17/pareto_front.csv,seed17_solution037,0.30086598000435716,0.31109368404569648,0.032876604591679785,3,0.45156826568265684,5.2777922077922081,0.7011661953230961,0.61859589080456767,10,0.22641509433962265,0.037735849056603772,True,sha256:ed472b100363e8d2edbbf345c7aafd8db4b843bd8c8a06001ec2b27551028afc,ed472b100363e8d2edbbf345c7aafd8db4b843bd8c8a06001ec2b27551028afc,seed17_solution037,37,
daytrader,17,stage3,BALANCE,P1,primary reporting profile,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_17/projected_front_3d.csv,seed17_solution029,0.30833264542285643,0.32335618472651517,0.046461270924399334,3,0.43173431734317341,3.8797178130511463,0.71349699627128427,0.5589606606740849,9,0.22641509433962265,0.056603773584905662,True,sha256:c21f41f46dadb67e460d341a11017f6d3c7d03d68573538e8509574ef530e208,c21f41f46dadb67e460d341a11017f6d3c7d03d68573538e8509574ef530e208,seed17_solution029,23,29
daytrader,18,stage2,BALANCE,P1,primary reporting profile,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_18/pareto_front.csv,seed18_solution034,0.31339219152108483,0.32459676389891201,0.034518435252535611,2,0.42850553505535055,6.866421911421912,0.835531691527718,0.580613504346154,10,0.26415094339622641,0.056603773584905662,True,sha256:97050751d57eca5aa821b1348887d7788fd47a1457f91a6f5405b56d48eb2dd0,97050751d57eca5aa821b1348887d7788fd47a1457f91a6f5405b56d48eb2dd0,seed18_solution034,34,
daytrader,18,stage3,BALANCE,P1,primary reporting profile,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_18/projected_front_3d.csv,seed18_solution032,0.31295210611238955,0.31295210611238955,0,1,0.43496309963099633,6.5211858848222484,0.79065384300969666,0.56236981717724643,11,0.22641509433962265,0.056603773584905662,True,sha256:ffa4bb2a766d9876be7e71d5ae47b1d65bb51fdefc180d1f84b39f4749cced98,ffa4bb2a766d9876be7e71d5ae47b1d65bb51fdefc180d1f84b39f4749cced98,seed18_solution032,21,32
daytrader,19,stage2,BALANCE,P1,primary reporting profile,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_19/pareto_front.csv,seed19_solution030,0.26632475388407029,0.27010404184992043,0.013991971167725254,3,0.43588560885608857,14.142612942612944,0.5059278368978084,0.65845780757664862,8,0.24528301886792453,0,True,sha256:a377fd58f6e35fa0ac617d661b97099188cdedb7c36379b1330572123dfb5fab,a377fd58f6e35fa0ac617d661b97099188cdedb7c36379b1330572123dfb5fab,seed19_solution030,30,
daytrader,19,stage3,BALANCE,P1,primary reporting profile,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_19/projected_front_3d.csv,seed19_solution031,0.31246978867390141,0.31246978867390141,0,1,0.43219557195571956,6.7763558663558667,0.78726966207641758,0.60613760757314661,10,0.24528301886792453,0.037735849056603772,True,sha256:b34052682483c8644b66027b15f10532ff4a1195560f7d8cd1fdfc3e65f9bada,b34052682483c8644b66027b15f10532ff4a1195560f7d8cd1fdfc3e65f9bada,seed19_solution031,22,31
daytrader,20,stage2,BALANCE,P1,primary reporting profile,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_20/pareto_front.csv,seed20_solution038,0.32459676389891201,0.32459676389891201,0,1,0.41789667896678967,7.9497354497354502,0.74426728012513277,0.56229782254486149,9,0.24528301886792453,0.018867924528301886,True,sha256:89ddfc4043be5edde3d757d241f119e23024afc0a82193fc73e8b784c904e123,89ddfc4043be5edde3d757d241f119e23024afc0a82193fc73e8b784c904e123,seed20_solution038,38,
daytrader,20,stage3,BALANCE,P1,primary reporting profile,results/stage3/subjects/daytrader/declaration_method_body/formal/seed_20/projected_front_3d.csv,seed20_solution053,0.14394101217303701,0.14590549301480107,0.013464063628946329,2,0.59640221402214022,8.1444444444444439,0.50698222047337371,0.79248084085408388,11,0.16981132075471697,0.018867924528301886,True,sha256:1d20625a24a8998f5634d859cef2bde66b999890870a30ee564b9aba8798e533,1d20625a24a8998f5634d859cef2bde66b999890870a30ee564b9aba8798e533,seed20_solution053,31,53
daytrader,21,stage2,BALANCE,P1,primary reporting profile,results/stage2/subjects/daytrader/nsga/robustness_final_30seeds/seed_21/pareto_front.csv,seed21_solution030,0.32459676389891201,0.32459676389891201,0,1,0.41789667896678967,7.0977855477855485,0.85240430174162407,0.5429508424933509,10,0.26415094339622641,0.056603773584905662,True,sha256:4e65a86d7f03fb8fb323b362305083fcd124d29223f1b6f9753865bc3ae8baf2,4e65a86d7f03fb8fb323b362305083fcd124d29223f1b6f9753865bc3ae8baf2,seed21_solution030,30,
