subject,repetition,random_seed,edge_count,structural_overlap,same_reference_service_ratio,same_leiden_cluster_ratio
xerces,195,62195,1673,0.011954572624028692,,0.07830245068738792
xerces,196,62196,1673,0.011356843992827256,,0.082486551105797973
xerces,197,62197,1673,0.016138673042438732,,0.084279736999402277
xerces,198,62198,1673,0.0065750149432157803,,0.069336521219366412
xerces,199,62199,1673,0.010161386730424387,,0.094441123729826659
xerces,200,62200,1673,0.015540944411237299,,0.087268380155409442
xerces,201,62201,1673,0.014943215780035863,,0.084279736999402277
xerces,202,62202,1673,0.0059772863120143458,,0.079497907949790794
xerces,203,62203,1673,0.017334130304841603,,0.090854751942618051
xerces,204,62204,1673,0.011954572624028692,,0.084877465630603707
xerces,205,62205,1673,0.016736401673640166,,0.080095636580992224
xerces,206,62206,1673,0.011356843992827256,,0.079497907949790794
xerces,207,62207,1673,0.011954572624028692,,0.088463837417812316
xerces,208,62208,1673,0.012552301255230125,,0.07830245068738792
xerces,209,62209,1673,0.011954572624028692,,0.075313807531380755
xerces,210,62210,1673,0.010759115361625823,,0.084279736999402277
xerces,211,62211,1673,0.011954572624028692,,0.092647937836222355
xerces,212,62212,1673,0.013747758517632994,,0.086670651524208012
xerces,213,62213,1673,0.010759115361625823,,0.071727435744172147
xerces,214,62214,1673,0.010759115361625823,,0.094441123729826659
xerces,215,62215,1673,0.009563658099222952,,0.073520621637776451
xerces,216,62216,1673,0.011356843992827256,,0.081888822474596529
xerces,217,62217,1673,0.010161386730424387,,0.084877465630603707
xerces,218,62218,1673,0.012552301255230125,,0.083682008368200833
xerces,219,62219,1673,0.01434548714883443,,0.087866108786610872
xerces,220,62220,1673,0.010161386730424387,,0.099820681410639572
xerces,221,62221,1673,0.011356843992827256,,0.084877465630603707
xerces,222,62222,1673,0.010161386730424387,,0.080095636580992224
xerces,223,62223,1673,0.004781829049611476,,0.085475194261805137
xerces,224,62224,1673,0.008368200836820083,,0.087268380155409442
xerces,225,62225,1673,0.0071727435744172148,,0.092050209205020925
xerces,226,62226,1673,0.011356843992827256,,0.078900179318589364
xerces,227,62227,1673,0.0077704722056186493,,0.086072922893006582
xerces,228,62228,1673,0.011954572624028692,,0.083682008368200833
xerces,229,62229,1673,0.010161386730424387,,0.073520621637776451
xerces,230,62230,1673,0.009563658099222952,,0.090854751942618051
xerces,231,62231,1673,0.012552301255230125,,0.100418410041841
xerces,232,62232,1673,0.012552301255230125,,0.081291093843395099
xerces,233,62233,1673,0.016138673042438732,,0.096832038254632394
xerces,234,62234,1673,0.013150029886431561,,0.093843395098625229
xerces,235,62235,1673,0.017334130304841603,,0.094441123729826659
xerces,236,62236,1673,0.0065750149432157803,,0.083084279736999403
xerces,237,62237,1673,0.011954572624028692,,0.080095636580992224
xerces,238,62238,1673,0.015540944411237299,,0.093245666467423785
xerces,239,62239,1673,0.010759115361625823,,0.098027495517035268
xerces,240,62240,1673,0.0077704722056186493,,0.087866108786610872
xerces,241,62241,1673,0.0089659294680215183,,0.073520621637776451
xerces,242,62242,1673,0.009563658099222952,,0.079497907949790794
xerces,243,62243,1673,0.010759115361625823,,0.088463837417812316
xerces,244,62244,1673,0.013150029886431561,,0.087268380155409442
xerces,245,62245,1673,0.010759115361625823,,0.094441123729826659
xerces,246,62246,1673,0.011954572624028692,,0.089659294680215176
xerces,247,62247,1673,0.0077704722056186493,,0.085475194261805137
xerces,248,62248,1673,0.012552301255230125,,0.096234309623430964
xerces,249,62249,1673,0.011954572624028692,,0.084279736999402277
xerces,250,62250,1673,0.015540944411237299,,0.075911536162582186
xerces,251,62251,1673,0.0077704722056186493,,0.080693365212193668
xerces,252,62252,1673,0.011954572624028692,,0.090854751942618051
xerces,253,62253,1673,0.013747758517632994,,0.088463837417812316
xerces,254,62254,1673,0.012552301255230125,,0.078900179318589364
xerces,255,62255,1673,0.013747758517632994,,0.075911536162582186
xerces,256,62256,1673,0.012552301255230125,,0.084279736999402277
xerces,257,62257,1673,0.011356843992827256,,0.095038852361028089
xerces,258,62258,1673,0.010161386730424387,,0.089061566049013746
xerces,259,62259,1673,0.011356843992827256,,0.093843395098625229
xerces,260,62260,1673,0.01434548714883443,,0.087268380155409442
xerces,261,62261,1673,0.013150029886431561,,0.076509264793783616
xerces,262,62262,1673,0.0059772863120143458,,0.080693365212193668
xerces,263,62263,1673,0.0089659294680215183,,0.081291093843395099
xerces,264,62264,1673,0.010161386730424387,,0.087866108786610872
xerces,265,62265,1673,0.010161386730424387,,0.083084279736999403
xerces,266,62266,1673,0.010161386730424387,,0.087268380155409442
xerces,267,62267,1673,0.013747758517632994,,0.083084279736999403
xerces,268,62268,1673,0.013150029886431561,,0.087268380155409442
xerces,269,62269,1673,0.0065750149432157803,,0.084279736999402277
xerces,270,62270,1673,0.010161386730424387,,0.089061566049013746
xerces,271,62271,1673,0.010759115361625823,,0.093245666467423785
xerces,272,62272,1673,0.004781829049611476,,0.085475194261805137
xerces,273,62273,1673,0.016138673042438732,,0.093843395098625229
xerces,274,62274,1673,0.011954572624028692,,0.068738792588164968
xerces,275,62275,1673,0.010161386730424387,,0.091452480573819481
xerces,276,62276,1673,0.013150029886431561,,0.093245666467423785
xerces,277,62277,1673,0.008368200836820083,,0.084877465630603707
xerces,278,62278,1673,0.012552301255230125,,0.09025702331141662
xerces,279,62279,1673,0.013150029886431561,,0.086670651524208012
xerces,280,62280,1673,0.011954572624028692,,0.086072922893006582
xerces,281,62281,1673,0.010161386730424387,,0.079497907949790794
xerces,282,62282,1673,0.010759115361625823,,0.090854751942618051
